actor,gender,film,director,year,maleactors,femaleactors
Waldemar Barwinski,m,Television Theater,Agnieszka Holland,1953,35,15
Kinga Preis,f,Television Theater,Agnieszka Holland,1953,35,15
Kinga Preis,f,In Darkness,Agnieszka Holland,2011,28,15
Kinga Preis,f,Without Secrets,Agnieszka Holland,2011,24,21
Leon Charewicz,m,Television Theater,Agnieszka Holland,1953,35,15
Leon Charewicz,m,Ekipa,Agnieszka Holland,2007,30,20
Barbara Kaluzna,f,Television Theater,Agnieszka Holland,1953,35,15
Grzegorz Malecki,m,Television Theater,Agnieszka Holland,1953,35,15
Grzegorz Malecki,m,Without Secrets,Agnieszka Holland,2011,24,21
Janusz Gajos,m,Television Theater,Agnieszka Holland,1953,35,15
Janusz Gajos,m,Without Secrets,Agnieszka Holland,2011,24,21
Janusz Gajos,m,Ekipa,Agnieszka Holland,2007,30,20
Krzysztof Dracz,m,Television Theater,Agnieszka Holland,1953,35,15
Krzysztof Dracz,m,1983,Agnieszka Holland,2018,34,16
Dominika Ostalowska,f,Television Theater,Agnieszka Holland,1953,35,15
Gustaw Holoubek,m,Television Theater,Agnieszka Holland,1953,35,15
Dorota Landowska,f,Television Theater,Agnieszka Holland,1953,35,15
Zbigniew Zamachowski,m,Television Theater,Agnieszka Holland,1953,35,15
Zbigniew Zamachowski,m,Within the Whirlwind,Marleen Gorris,2009,32,21
Danuta Stenka,f,Television Theater,Agnieszka Holland,1953,35,15
Danuta Stenka,f,Without Secrets,Agnieszka Holland,2011,24,21
Anna Seniuk,f,Television Theater,Agnieszka Holland,1953,35,15
Anna Seniuk,f,Europa Europa,Agnieszka Holland,1990,46,11
Maja Ostaszewska,f,Television Theater,Agnieszka Holland,1953,35,15
Maria Ciunelis,f,Television Theater,Agnieszka Holland,1953,35,15
Marcin Tronski,m,Television Theater,Agnieszka Holland,1953,35,15
Jerzy Lapinski,m,Television Theater,Agnieszka Holland,1953,35,15
Jerzy Lapinski,m,Provincial Actors,Agnieszka Holland,1979,22,8
Jacek Rozenek,m,Television Theater,Agnieszka Holland,1953,35,15
Andrzej Zielinski,m,Television Theater,Agnieszka Holland,1953,35,15
Stanislawa Celinska,f,Television Theater,Agnieszka Holland,1953,35,15
Stanislawa Celinska,f,Without Secrets,Agnieszka Holland,2011,24,21
Grzegorz Damiecki,m,Television Theater,Agnieszka Holland,1953,35,15
Mariusz Benoit,m,Television Theater,Agnieszka Holland,1953,35,15
Cezary Kosinski,m,Television Theater,Agnieszka Holland,1953,35,15
Anna Polony,f,Television Theater,Agnieszka Holland,1953,35,15
Marek Kalita,m,Television Theater,Agnieszka Holland,1953,35,15
Marek Kalita,m,Ekipa,Agnieszka Holland,2007,30,20
Arkadiusz Janiczek,m,Television Theater,Agnieszka Holland,1953,35,15
Adam Warchol,m,Television Theater,Agnieszka Holland,1953,35,15
Wanda Marchlewska,f,Television Theater,Agnieszka Holland,1953,35,15
Joanna Szczepkowska,f,Television Theater,Agnieszka Holland,1953,35,15
Igor Przegrodzki,m,Television Theater,Agnieszka Holland,1953,35,15
Agnieszka Mandat,f,Spoor,Agnieszka Holland,2017,19,13
Agnieszka Mandat,f,Ekipa,Agnieszka Holland,2007,30,20
Agnieszka Mandat,f,Within the Whirlwind,Marleen Gorris,2009,32,21
Wiktor Zborowski,m,Spoor,Agnieszka Holland,2017,19,13
Jakub Gierszal,m,Spoor,Agnieszka Holland,2017,19,13
Patricia Volny,f,Spoor,Agnieszka Holland,2017,19,13
Patricia Volny,f,1983,Agnieszka Holland,2018,34,16
Patricia Volny,f,Mr. Jones,Agnieszka Holland,2019,89,33
Miroslav Krobot,m,Spoor,Agnieszka Holland,2017,19,13
Miroslav Krobot,m,Burning Bush,Agnieszka Holland,2013,35,15
Borys Szyc,m,Spoor,Agnieszka Holland,2017,19,13
Tomasz Kot,m,Spoor,Agnieszka Holland,2017,19,13
Andrzej Grabowski,m,Spoor,Agnieszka Holland,2017,19,13
Katarzyna Herman,f,Spoor,Agnieszka Holland,2017,19,13
Katarzyna Herman,f,Ekipa,Agnieszka Holland,2007,30,20
Marcin Bosak,m,Spoor,Agnieszka Holland,2017,19,13
Marcin Bosak,m,In Darkness,Agnieszka Holland,2011,28,15
Marcin Bosak,m,1983,Agnieszka Holland,2018,34,16
Marcin Bosak,m,Ekipa,Agnieszka Holland,2007,30,20
Andrzej Konopka,m,Spoor,Agnieszka Holland,2017,19,13
Sebastian Pawlak,m,Spoor,Agnieszka Holland,2017,19,13
Sebastian Pawlak,m,1983,Agnieszka Holland,2018,34,16
Maciej Namyslo,m,Spoor,Agnieszka Holland,2017,19,13
Katarzyna Skarzanka,f,Spoor,Agnieszka Holland,2017,19,13
Adam Bobik,m,Spoor,Agnieszka Holland,2017,19,13
Piotr Zurawski,m,Spoor,Agnieszka Holland,2017,19,13
Monika Anna Wojtyllo,f,Spoor,Agnieszka Holland,2017,19,13
Adam Rucinski,m,Spoor,Agnieszka Holland,2017,19,13
Artur Krajewski,m,Spoor,Agnieszka Holland,2017,19,13
Aldona Struzik,f,Spoor,Agnieszka Holland,2017,19,13
Katarzyna Bednarz,f,Spoor,Agnieszka Holland,2017,19,13
Edwin Bazanski,m,Spoor,Agnieszka Holland,2017,19,13
Klaudia Cygon,f,Spoor,Agnieszka Holland,2017,19,13
Joanna Gonschorek,f,Spoor,Agnieszka Holland,2017,19,13
Ryszard Herba,m,Spoor,Agnieszka Holland,2017,19,13
Aleksander Janiszewski,m,Spoor,Agnieszka Holland,2017,19,13
Izabela Maciuszek,f,Spoor,Agnieszka Holland,2017,19,13
Anita Poddebniak,f,Spoor,Agnieszka Holland,2017,19,13
Juliusz Krzysztof Warunek,m,Spoor,Agnieszka Holland,2017,19,13
Juliusz Krzysztof Warunek,m,1983,Agnieszka Holland,2018,34,16
Zofia Wichlacz,f,Spoor,Agnieszka Holland,2017,19,13
Zofia Wichlacz,f,1983,Agnieszka Holland,2018,34,16
Grzegorz Wojdon,m,Spoor,Agnieszka Holland,2017,19,13
Katarzyna Wolak,f,Spoor,Agnieszka Holland,2017,19,13
Barbara Grabowska,f,Fever,Agnieszka Holland,1981,37,6
Boguslaw Linda,m,Fever,Agnieszka Holland,1981,37,6
Boguslaw Linda,m,Kobieta samotna,Agnieszka Holland,1987,15,12
Olgierd Lukaszewicz,m,Fever,Agnieszka Holland,1981,37,6
Tomasz Miedzik,m,Fever,Agnieszka Holland,1981,37,6
Aleksy Awdiejew,m,Fever,Agnieszka Holland,1981,37,6
Aleksy Awdiejew,m,Europa Europa,Agnieszka Holland,1990,46,11
Wiktor Grotowicz,m,Fever,Agnieszka Holland,1981,37,6
Tadeusz Huk,m,Fever,Agnieszka Holland,1981,37,6
Tadeusz Huk,m,Provincial Actors,Agnieszka Holland,1979,22,8
Michal Juszczakiewicz,m,Fever,Agnieszka Holland,1981,37,6
Krzysztof Kiersznowski,m,Fever,Agnieszka Holland,1981,37,6
Marian Lacz,m,Fever,Agnieszka Holland,1981,37,6
Pawel Nowisz,m,Fever,Agnieszka Holland,1981,37,6
Ryszard Sobolewski,m,Fever,Agnieszka Holland,1981,37,6
Michal Tarkowski,m,Fever,Agnieszka Holland,1981,37,6
Michal Tarkowski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Krzysztof Zaleski,m,Fever,Agnieszka Holland,1981,37,6
Krzysztof Zaleski,m,Sunday Children,Agnieszka Holland,1977,7,14
Krzysztof Zaleski,m,Kobieta samotna,Agnieszka Holland,1987,15,12
Zbigniew Bielski,m,Fever,Agnieszka Holland,1981,37,6
Zbigniew Bielski,m,Screen Tests,Agnieszka Holland,1977,19,10
Zbigniew Bielski,m,Europa Europa,Agnieszka Holland,1990,46,11
Zbigniew Bielski,m,Provincial Actors,Agnieszka Holland,1979,22,8
Zbigniew Bielski,m,Evening at Abdon's,Agnieszka Holland,1976,6,5
Maciej Borninski,m,Fever,Agnieszka Holland,1981,37,6
Grazyna Dylag,f,Fever,Agnieszka Holland,1981,37,6
Ireneusz Karamon,m,Fever,Agnieszka Holland,1981,37,6
Zbigniew Kosowski,m,Fever,Agnieszka Holland,1981,37,6
Ryszard Kubiak,m,Fever,Agnieszka Holland,1981,37,6
Zuzanna Lozinska,f,Fever,Agnieszka Holland,1981,37,6
Wojciech Machnicki,m,Fever,Agnieszka Holland,1981,37,6
Zygmunt Malawski,m,Fever,Agnieszka Holland,1981,37,6
Aleksander Mikolajczak,m,Fever,Agnieszka Holland,1981,37,6
Zbigniew Nawrocki,m,Fever,Agnieszka Holland,1981,37,6
Zbigniew Nawrocki,m,Evening at Abdon's,Agnieszka Holland,1976,6,5
Marek Paczek,m,Fever,Agnieszka Holland,1981,37,6
Izydor Piliszewski,m,Fever,Agnieszka Holland,1981,37,6
Antoni Pszoniak,m,Fever,Agnieszka Holland,1981,37,6
Maria Robaszkiewicz,f,Fever,Agnieszka Holland,1981,37,6
Alicja Sobieraj,f,Fever,Agnieszka Holland,1981,37,6
Eugeniusz Sobkiewicz,m,Fever,Agnieszka Holland,1981,37,6
Krzysztof Stachowski,m,Fever,Agnieszka Holland,1981,37,6
Andrzej Szenajch,m,Fever,Agnieszka Holland,1981,37,6
Jerzy Walden,m,Fever,Agnieszka Holland,1981,37,6
Grzegorz Wons,m,Fever,Agnieszka Holland,1981,37,6
Grzegorz Wons,m,1983,Agnieszka Holland,2018,34,16
Grzegorz Wons,m,Europa Europa,Agnieszka Holland,1990,46,11
Grzegorz Wons,m,Something for Something,Agnieszka Holland,1977,5,7
Ewa Worytkiewicz,f,Fever,Agnieszka Holland,1981,37,6
Stanislaw Jaroszynski,m,Fever,Agnieszka Holland,1981,37,6
Stanislaw Jaroszynski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Stanislaw Jaroszynski,m,Evening at Abdon's,Agnieszka Holland,1976,6,5
Juliusz Lubicz-Lisowski,m,Fever,Agnieszka Holland,1981,37,6
Juliusz Lubicz-Lisowski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Stefan Paska,m,Fever,Agnieszka Holland,1981,37,6
Marek Probosz,m,Fever,Agnieszka Holland,1981,37,6
Jerzy Rogowski,m,Fever,Agnieszka Holland,1981,37,6
Sean Penn,m,The First,Agnieszka Holland,2018,25,25
Sean Penn,m,Fast Times at Ridgemont High,Amy Heckerling,1982,40,24
Sean Penn,m,The Weight of Water,Kathryn Bigelow,2000,16,8
Sean Penn,m,Persepolis,Marjane Satrapi,2007,16,13
Natascha McElhone,f,The First,Agnieszka Holland,2018,25,25
Natascha McElhone,f,Laurel Canyon,Lisa Cholodenko,2002,23,17
Natascha McElhone,f,Mrs Dalloway,Marleen Gorris,1997,23,20
LisaGay Hamilton,f,The First,Agnieszka Holland,2018,25,25
LisaGay Hamilton,f,Sorry for Your Loss,Allison Anders,2018,20,30
Hannah Ware,f,The First,Agnieszka Holland,2018,25,25
Hannah Ware,f,Betrayal,Patty Jenkins,2013,28,22
Keiko Agena,f,The First,Agnieszka Holland,2018,25,25
Keiko Agena,f,Here and Now,Lisa Cholodenko,2018,26,24
Keiko Agena,f,Gilmore Girls,Nicole Holofcener,2000,33,17
Rey Lucas,m,The First,Agnieszka Holland,2018,25,25
James Ransone,m,The First,Agnieszka Holland,2018,25,25
James Ransone,m,Treme (2010-2013),Agnieszka Holland,2010,37,13
James Ransone,m,Low Winter Sun,Catherine Hardwick,2013,35,15
Anna Jacoby-Heron,f,The First,Agnieszka Holland,2018,25,25
Brian Lee Franklin,m,The First,Agnieszka Holland,2018,25,25
Oded Fehr,m,The First,Agnieszka Holland,2018,25,25
T.C. Matherne,m,The First,Agnieszka Holland,2018,25,25
T.C. Matherne,m,Cloak & Dagger,Gina Prince-Bythewood,2018,34,16
D.W. Moffett,m,The First,Agnieszka Holland,2018,25,25
D.W. Moffett,m,Crossing Jordan (2001-2007),Donna Deitch,2001,28,22
D.W. Moffett,m,Thirteen,Catherine Hardwick,2003,19,19
Toney Chapman Steele,m,The First,Agnieszka Holland,2018,25,25
Toney Chapman Steele,m,Claws,Cheryl Dunye,2017,24,26
Annie Parisse,f,The First,Agnieszka Holland,2018,25,25
Annie Parisse,f,The Following,Mary Harron,2013,24,26
Tracie Thoms,f,The First,Agnieszka Holland,2018,25,25
Tracie Thoms,f,Cold Case (2004-2009),Agnieszka Holland,2003,35,15
Tracie Thoms,f,I Will Follow,Ava DuVernay,2010,9,7
Tracie Thoms,f,Cold Case,Allison Anders,2003,35,15
Fernanda Andrade,f,The First,Agnieszka Holland,2018,25,25
Fernanda Andrade,f,Here and Now,Lisa Cholodenko,2018,26,24
Anthony Marble,m,The First,Agnieszka Holland,2018,25,25
Sheenan Cole,f,The First,Agnieszka Holland,2018,25,25
Jeannie Berlin,f,The First,Agnieszka Holland,2018,25,25
Jeannie Berlin,f,The Heartbreak Kid,Elaine May,1972,12,8
Amber Patino,f,The First,Agnieszka Holland,2018,25,25
Eden Grace Redfield,f,The First,Agnieszka Holland,2018,25,25
Alex Rubin,m,The First,Agnieszka Holland,2018,25,25
Scott Takeda,m,The First,Agnieszka Holland,2018,25,25
Sharon Omi,f,The First,Agnieszka Holland,2018,25,25
Patrick Kennedy,m,The First,Agnieszka Holland,2018,25,25
Kelly Murtagh,f,The First,Agnieszka Holland,2018,25,25
John McConnell,m,The First,Agnieszka Holland,2018,25,25
Cara Ronzetti,f,The First,Agnieszka Holland,2018,25,25
Norbert Leo Butz,m,The First,Agnieszka Holland,2018,25,25
Norbert Leo Butz,m,The Miraculous Year,Kathryn Bigelow,2011,22,10
Melissa George,f,The First,Agnieszka Holland,2018,25,25
Melissa George,f,Two Twisted,Jennifer Kent,2005,33,17
Melissa George,f,The Slap,Lisa Cholodenko,2015,27,23
Miguel Nájera,m,The First,Agnieszka Holland,2018,25,25
Sol Miranda,f,The First,Agnieszka Holland,2018,25,25
Sol Miranda,f,Unbreakable Kimmy Schmidt,Nicole Holofcener,2015,29,21
Fallon Katz,f,The First,Agnieszka Holland,2018,25,25
Marcus Lyle Brown,m,The First,Agnieszka Holland,2018,25,25
Marcus Lyle Brown,m,Eve's Bayou,Kasi Lemmons,1997,11,18
Marcus Lyle Brown,m,Six (2017-2018),Kimberly Peirce,2017,32,18
Marcus Lyle Brown,m,Drop Dead Diva,Martha Coolidge,2009,28,22
Devyn A. Tyler,f,The First,Agnieszka Holland,2018,25,25
Devyn A. Tyler,f,Cloak & Dagger,Gina Prince-Bythewood,2018,34,16
Galen Lee,m,The First,Agnieszka Holland,2018,25,25
Asher Lee,m,The First,Agnieszka Holland,2018,25,25
Billy Slaughter,m,The First,Agnieszka Holland,2018,25,25
Billy Slaughter,m,Anna Nicole,Mary Harron,2013,52,21
Julia Badinger,f,The First,Agnieszka Holland,2018,25,25
GiGi Erneta,f,The First,Agnieszka Holland,2018,25,25
Bill Camp,m,The First,Agnieszka Holland,2018,25,25
Bill Camp,m,The Outsider,Karyn Kusama,2020,30,20
Bill Camp,m,Manhattan,Kimberly Peirce,2014,37,13
Bill Camp,m,The Land of Steady Habits,Nicole Holofcener,2018,18,13
Caroline Cole,f,The First,Agnieszka Holland,2018,25,25
Robert J. Gilchrist,m,The First,Agnieszka Holland,2018,25,25
Jenna Harvey,f,The First,Agnieszka Holland,2018,25,25
Jordan Salloum,m,The First,Agnieszka Holland,2018,25,25
Paul Hughes,m,The First,Agnieszka Holland,2018,25,25
Rachel Whitman Groves,f,The First,Agnieszka Holland,2018,25,25
Rachel Whitman Groves,f,Claws,Cheryl Dunye,2017,24,26
Angela Conner,f,The First,Agnieszka Holland,2018,25,25
Franco Gonzalez,m,The First,Agnieszka Holland,2018,25,25
Andre De'Sean Shanks,m,The First,Agnieszka Holland,2018,25,25
Frédéric Quiring,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Faye Gatteau,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Emmanuel Morozof,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Brigitte Roüan,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
François Cluzet,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
François Cluzet,m,Chocolat,Claire Denis,1988,20,8
Carole Lemerle,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Jean-François Stévenin,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Jean-François Stévenin,m,Télévision de chambre,Chantal Akerman,1982,32,18
Jean-François Stévenin,m,36 fillette,Catherine Breillat,1988,10,6
Jean-Bernard Josko,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Lucrèce La Chenardière,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Madeleine Marie,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Françoise Lorente,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Alexis Derlon,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Grégoire Colin,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Grégoire Colin,m,The Intruder,Claire Denis,2004,9,6
Grégoire Colin,m,Tous les garçons et les filles de leur âge...,Claire Denis,1993,31,19
Grégoire Colin,m,Nenette and Boni,Claire Denis,1996,33,20
Grégoire Colin,m,Bastards,Claire Denis,2013,16,13
Grégoire Colin,m,35 Shots of Rum,Claire Denis,2008,20,11
Grégoire Colin,m,Friday Night,Claire Denis,2002,15,15
Grégoire Colin,m,Beau travail,Claire Denis,1999,34,9
Grégoire Colin,m,Tous les garçons et les filles de leur âge...,Chantal Akerman,1993,31,19
Grégoire Colin,m,Sex Is Comedy,Catherine Breillat,2002,11,9
Mathias Jung,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Mathias Jung,m,Total Eclipse,Agnieszka Holland,1995,11,8
Mathias Jung,m,Charlotte Gray,Gillian Armstrong,2001,37,13
Marina Golovine,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Vanessa Martin,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Florian Billion,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Luc Etienne,m,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Marcelle Beignon,f,"Olivier, Olivier",Agnieszka Holland,1992,10,9
Bogdan Baer,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Henryk Bak,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jolanta Bohdal,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Bozena Dykiel,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Adam Hanuszkiewicz,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jan Himilsbach,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jerzy Kamas,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jerzy Kamas,m,Without Secrets,Agnieszka Holland,2011,24,21
Grazyna Klepka,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Halina Kowalska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Kazimierz Kaczor,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jolanta Lothe,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Wlodzimierz Nowak,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Janina Nowicka,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Andrzej Niemira,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Zdzislaw Maklakiewicz,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Józef Pieracki,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Danuta Rinn,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Joanna Sienkiewicz,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Andrzej Seweryn,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Andrzej Seweryn,m,Total Eclipse,Agnieszka Holland,1995,11,8
Andrzej Seweryn,m,Ekipa,Agnieszka Holland,2007,30,20
Krzysztof Swietochowski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Andrzej Szczepkowski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Franciszek Trzeciak,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Janusz Zakrzenski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Zygmunt Zintel,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Barbara Bargielowska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Marek Bargielowski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Marek Bargielowski,m,Evening at Abdon's,Agnieszka Holland,1976,6,5
Piotr Borowy,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Barbara Burska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Zofia Czerwinska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Maria Czubasiewicz,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Bohdan Ejmont,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Bohdan Ejmont,m,Europa Europa,Agnieszka Holland,1990,46,11
Anna Falkiewicz,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jerzy Januszewicz,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Józef Kalita,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Marek Kepinski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jacek Kleyff,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Jacek Kleyff,m,Screen Tests,Agnieszka Holland,1977,19,10
Waclaw Kowalski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Teresa Lipowska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Tomasz Marzecki,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Alicja Migulanka,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Marek Perepeczko,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Joanna Sobieska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Andrzej Swat,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Danuta Wodynska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Ewa Borowik,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Edward Rauch,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Eugeniusz Robaczewski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Grazyna Szapolowska,f,Obrazki z zycia,Agnieszka Holland,1976,35,19
Zdzislaw Szymanski,m,Obrazki z zycia,Agnieszka Holland,1976,35,19
Miranda Otto,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Miranda Otto,f,Rake,Amy Heckerling,2014,26,24
Miranda Otto,f,The Last Days of Chez Nous,Gillian Armstrong,1992,11,13
William Fichtner,m,Julie Walking Home,Agnieszka Holland,2002,27,22
William Fichtner,m,Strange Days,Kathryn Bigelow,1995,69,22
William Fichtner,m,Entourage,Patty Jenkins,2004,28,22
Lothaire Bluteau,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Lothaire Bluteau,m,I Shot Andy Warhol,Mary Harron,1996,42,27
Lothaire Bluteau,m,Orlando,Sally Potter,1992,33,12
Ryan Smith,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Bianca Crudo,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Jerzy Nowak,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Boguslawa Schubert,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Boguslawa Schubert,f,Europa Europa,Agnieszka Holland,1990,46,11
Boguslawa Schubert,f,To Kill a Priest,Agnieszka Holland,1988,26,8
Boguslawa Schubert,f,Ekipa,Agnieszka Holland,2007,30,20
Boguslawa Schubert,f,Within the Whirlwind,Marleen Gorris,2009,32,21
Maciej Stuhr,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Maciej Stuhr,m,Without Secrets,Agnieszka Holland,2011,24,21
Maria Seweryn,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Maria Seweryn,f,Within the Whirlwind,Marleen Gorris,2009,32,21
Piotr Kolodziejska,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Kazimierz Borowiec,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Sergei Motenko,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Violetta Kolakowska,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Przemyslaw Sadowski,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Przemyslaw Sadowski,m,Without Secrets,Agnieszka Holland,2011,24,21
Jolanta Rzaczkiewicz,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Ginger King,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Jackie Torrens,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Stephen Morgan,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Sophia Nguan,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Victor Tang,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Mary-Colin Chisholm,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Mary-Colin Chisholm,f,Hunger Point,Joan Micklin Silver,2003,14,19
Michael D'Ascenzo,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Deborah Allen,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Mauralea Austin,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Mark Day,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Mark Day,m,K-19: The Widowmaker,Kathryn Bigelow,2002,49,2
Jennifer Overton,f,Julie Walking Home,Agnieszka Holland,2002,27,22
Jeremy Akerman,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Jeremy Akerman,m,Amelia,Mira Nair,2009,30,27
Jeremy Akerman,m,K-19: The Widowmaker,Kathryn Bigelow,2002,49,2
Jeremy Akerman,m,Hunger Point,Joan Micklin Silver,2003,14,19
Rafal Mohr,m,Julie Walking Home,Agnieszka Holland,2002,27,22
Matylda Podfilipska,f,Julie Walking Home,Agnieszka Holland,2002,27,22
