actor,director,gender
Dean Geyer,Marielle Heller,m
Ivan Shaw,Karyn Kusama,m
Ivan Shaw,Marielle Heller,m
Nikki SooHoo,Karyn Kusama,f
Nikki SooHoo,Marielle Heller,f
Nathin Butler,Karyn Kusama,m
Nathin Butler,Marielle Heller,m
Britt Robertson,Karyn Kusama,f
Britt Robertson,Marielle Heller,f
Elizabeth Hendrickson,Karyn Kusama,f
Elizabeth Hendrickson,Marielle Heller,f
Caroline Lindy,Karyn Kusama,f
Caroline Lindy,Marielle Heller,f
Lauran September,Karyn Kusama,f
Lauran September,Marielle Heller,f
Tonja Kahlens,Karyn Kusama,f
Tonja Kahlens,Marielle Heller,f
Davida Williams,Karyn Kusama,f
Davida Williams,Marielle Heller,f
Melise,Karyn Kusama,f
Melise,Marielle Heller,f
Mike Agresta,Karyn Kusama,m
Mike Agresta,Marielle Heller,m
Ben Bass,Karyn Kusama,m
Ben Bass,Marielle Heller,m
Dorian Brown Pham,Karyn Kusama,f
Dorian Brown Pham,Marielle Heller,f
Gunnar Goldberg,Karyn Kusama,m
Gunnar Goldberg,Marielle Heller,m
Angela Jaymes,Karyn Kusama,f
Angela Jaymes,Marielle Heller,f
Lizzy Caplan,Karyn Kusama,f
Lizzy Caplan,Martha Coolidge,f
Caitlin FitzGerald,Karyn Kusama,f
Caitlin FitzGerald,Nancy Meyers,f
Annaleigh Ashford,Karyn Kusama,f
Annaleigh Ashford,Lisa Cholodenko,f
Annaleigh Ashford,Jennifer Lee,f
Heléne Yorke,Karyn Kusama,f
Heléne Yorke,Allison Anders,f
Allison Janney,Karyn Kusama,f
Allison Janney,Nicole Holofcener,f
David Walton,Karyn Kusama,m
David Walton,Penelope Spheeris,m
David Walton,Martha Coolidge,m
Michael O'Keefe,Karyn Kusama,m
Michael O'Keefe,Martha Coolidge,m
Garrett M. Brown,Karyn Kusama,m
Garrett M. Brown,Joan Micklin Silver,m
Emily Kinney,Karyn Kusama,f
Emily Kinney,Nancy Meyers,f
Adam Arkin,Karyn Kusama,m
Adam Arkin,Claudia Weill,m
Barry Watson,Karyn Kusama,m
Barry Watson,Allison Anders,m
Brian Howe,Karyn Kusama,m
Brian Howe,Patty Jenkins,m
David Eigenberg,Karyn Kusama,m
David Eigenberg,Patty Jenkins,m
David Eigenberg,Penelope Spheeris,m
David Eigenberg,Susan Seidelman,m
David Eigenberg,Allison Anders,m
David Eigenberg,Martha Coolidge,m
David Eigenberg,Nicole Holofcener,m
Charlie Barnett,Karyn Kusama,m
Charlie Barnett,Patricia Cardoso,m
Jason Beghe,Karyn Kusama,m
Jason Beghe,Martha Coolidge,m
Edwin Hodge,Karyn Kusama,m
Edwin Hodge,Allison Anders,m
Edwin Hodge,Kimberly Peirce,m
Yaya DaCosta,Karyn Kusama,f
Yaya DaCosta,Lisa Cholodenko,f
Adam Brody,Karyn Kusama,m
Adam Brody,Claudia Weill,m
Adam Brody,Nicole Holofcener,m
Megan Charpentier,Karyn Kusama,f
Megan Charpentier,Catherine Hardwick,f
Adrian Hough,Karyn Kusama,m
Adrian Hough,Susanne Bier,m
Gabrielle Rose,Karyn Kusama,f
Gabrielle Rose,Allison Anders,f
Bill Fagerbakke,Karyn Kusama,m
Bill Fagerbakke,Lisa Cholodenko,m
Andrea Baker,Karyn Kusama,f
Andrea Baker,Nancy Meyers,f
Joel Swetow,Karyn Kusama,m
Joel Swetow,Kimberly Peirce,m
Megan Danso,Karyn Kusama,f
Megan Danso,Martha Coolidge,f
James Jordan,Karyn Kusama,m
James Jordan,Kelly Reichardt,m
Natalia Cordova-Buckley,Karyn Kusama,f
Natalia Cordova-Buckley,Niki Caro,f
Cuete Yeska,Karyn Kusama,m
Cuete Yeska,Patty Jenkins,m
Mickey O'Hagan,Karyn Kusama,f
Mickey O'Hagan,Patty Jenkins,f
McCabe Slye,Karyn Kusama,m
McCabe Slye,Desiree Akhavan,m
Jeffrey Grover,Karyn Kusama,m
Jeffrey Grover,Mélanie Laurent,m
Sydney Morton,Kasi Lemmons,f
Sydney Morton,Nancy Meyers,f
Mouna Traoré,Kasi Lemmons,f
Mouna Traoré,Kimberly Peirce,f
Joel Rinzler,Kasi Lemmons,m
Joel Rinzler,Lisa Cholodenko,m
Stuart Hughes,Kasi Lemmons,m
Stuart Hughes,Patricia Cardoso,m
Sean Ringgold,Kasi Lemmons,m
Sean Ringgold,Patricia Cardoso,m
Ron Cephas Jones,Kasi Lemmons,m
Ron Cephas Jones,Catherine Hardwick,m
Erik LaRay Harvey,Kasi Lemmons,m
Erik LaRay Harvey,Marielle Heller,m
Erik LaRay Harvey,Susan Seidelman,m
Jamar Greene,Kasi Lemmons,m
Jamar Greene,Susanne Bier,m
Sônia Braga,Kasi Lemmons,f
Sônia Braga,Patricia Cardoso,f
Sônia Braga,Susan Seidelman,f
Sônia Braga,Allison Anders,f
Sônia Braga,Martha Coolidge,f
Sônia Braga,Nicole Holofcener,f
Lee R. Sellars,Kasi Lemmons,m
Lee R. Sellars,Tamara Jenkins,m
Anthony Michael Hall,Kasi Lemmons,m
Anthony Michael Hall,Allison Anders,m
Anthony Michael Hall,Martha Coolidge,m
Alex Karzis,Kasi Lemmons,m
Alex Karzis,Catherine Hardwick,m
Rotimi,Kasi Lemmons,m
Rotimi,Patty Jenkins,m
Antoine Drye,Kasi Lemmons,m
Antoine Drye,Marielle Heller,m
Tommy Bayiokos,Kasi Lemmons,m
Tommy Bayiokos,Susan Seidelman,m
Dennis Lauricella,Kasi Lemmons,m
Dennis Lauricella,Tamara Jenkins,m
Joe Alwyn,Kasi Lemmons,m
Joe Alwyn,Joanna Hogg,m
Nick Basta,Kasi Lemmons,m
Nick Basta,Allison Anders,m
Nick Basta,Kimberly Peirce,m
Daphne Reid,Kasi Lemmons,f
Daphne Reid,Martha Coolidge,f
Thomas Keegan,Kasi Lemmons,m
Thomas Keegan,Allison Anders,m
Thomas Keegan,Kimberly Peirce,m
Aaron Angus,Kasi Lemmons,m
Aaron Angus,Allison Anders,m
Aaron Angus,Kimberly Peirce,m
Victor Ellis,Kasi Lemmons,m
Victor Ellis,Patty Jenkins,m
Chuck Taber,Kasi Lemmons,m
Chuck Taber,Patty Jenkins,m
William G. Tomek,Kasi Lemmons,m
William G. Tomek,Patty Jenkins,m
Gary Bolling,Kathleen Collins II,m
Gary Bolling,Shirley Clarke,m
Heather Gottlieb,Kelly Reichardt,f
Heather Gottlieb,Nicole Holofcener,f
Michelle Williams,Kelly Reichardt,f
Michelle Williams,Sarah Polley,f
Michelle Williams,Martha Coolidge,f
Zoe Kazan,Kelly Reichardt,f
Zoe Kazan,Lisa Cholodenko,f
Zoe Kazan,Tamara Jenkins,f
Zoe Kazan,Nancy Meyers,f
Zoe Kazan,Nicole Holofcener,f
Kai Lennox,Kelly Reichardt,m
Kai Lennox,Lisa Cholodenko,m
Kai Lennox,Allison Anders,m
Dann Fink,Kelly Reichardt,m
Dann Fink,Marielle Heller,m
Ewen Bremner,Kelly Reichardt,m
Ewen Bremner,Patty Jenkins,m
Dylan Smith,Kelly Reichardt,m
Dylan Smith,Patty Jenkins,m
Ted Rooney,Kelly Reichardt,m
Ted Rooney,Nicole Holofcener,m
John Robinson,Kelly Reichardt,m
John Robinson,Catherine Hardwick,m
John Breen,Kelly Reichardt,m
John Breen,Ida Lupino,m
Ashlie Atkinson,Kelly Reichardt,f
Ashlie Atkinson,Patricia Cardoso,f
Guy Boyd,Kelly Reichardt,m
Guy Boyd,Tamara Jenkins,m
Guy Boyd,Allison Anders,m
Guy Boyd,Joan Micklin Silver,m
Larry Marshall,Kirsten Johnson,m
Larry Marshall,Susan Seidelman,m
Tim DeKay,Lisa Cholodenko,m
Tim DeKay,Claudia Weill,m
Tim DeKay,Kimberly Peirce,m
Madeline Bertani,Lisa Cholodenko,f
Madeline Bertani,Nicole Holofcener,f
Cynthia Ettinger,Lisa Cholodenko,f
Cynthia Ettinger,Catherine Hardwick,f
Kelly Jenrette,Lisa Cholodenko,f
Kelly Jenrette,Allison Anders,f
Ally Sheedy,Lisa Cholodenko,f
Ally Sheedy,Allison Anders,f
Ally Sheedy,Martha Coolidge,f
Anthony Ruivivar,Lisa Cholodenko,m
Anthony Ruivivar,Allison Anders,m
Rudolf Martin,Lisa Cholodenko,m
Rudolf Martin,Susan Seidelman,m
Lennie James,Lisa Cholodenko,m
Lennie James,Catherine Hardwick,m
Marylouise Burke,Lisa Cholodenko,f
Marylouise Burke,Martha Coolidge,f
Roxanne Hart,Lisa Cholodenko,f
Roxanne Hart,Claudia Weill,f
Lauren Weedman,Lisa Cholodenko,f
Lauren Weedman,Patty Jenkins,f
Lauren Weedman,Allison Anders,f
Lauren Weedman,Desiree Akhavan,f
Gina Hecht,Lisa Cholodenko,f
Gina Hecht,Allison Anders,f
Ana Ortiz,Lisa Cholodenko,f
Ana Ortiz,Marleen Gorris,f
Joshua Leonard,Lisa Cholodenko,m
Joshua Leonard,Allison Anders,m
Joshua Leonard,Nicole Holofcener,m
Kyle Colerider-Krugh,Lisa Cholodenko,m
Kyle Colerider-Krugh,Susan Seidelman,m
Merrin Dungey,Lisa Cholodenko,f
Merrin Dungey,Patty Jenkins,f
Merrin Dungey,Allison Anders,f
Liz Vassey,Lisa Cholodenko,f
Liz Vassey,Penelope Spheeris,f
Larry Poindexter,Lisa Cholodenko,m
Larry Poindexter,Martha Coolidge,m
W. Earl Brown,Lisa Cholodenko,m
W. Earl Brown,Kimberly Peirce,m
Monty Bane,Lisa Cholodenko,m
Monty Bane,Penelope Spheeris,m
Alexondra Lee,Lisa Cholodenko,f
Alexondra Lee,Nancy Meyers,f
James Patrick Stuart,Lisa Cholodenko,m
James Patrick Stuart,Nancy Meyers,m
Michael Cudlitz,Lisa Cholodenko,m
Michael Cudlitz,Allison Anders,m
Nan Martin,Lisa Cholodenko,f
Nan Martin,Claudia Weill,f
Nan Martin,Martha Coolidge,f
Ivar Brogger,Lisa Cholodenko,m
Ivar Brogger,Penelope Spheeris,m
Ivar Brogger,Martha Coolidge,m
Aidan Quinn,Lisa Cholodenko,m
Aidan Quinn,Susan Seidelman,m
Aidan Quinn,Joan Micklin Silver,m
Sherilyn Fenn,Lisa Cholodenko,f
Sherilyn Fenn,Nicole Holofcener,f
Anne Holloway,Lisa Cholodenko,f
Anne Holloway,Martha Coolidge,f
Edie Inksetter,Lisa Cholodenko,f
Edie Inksetter,Patricia Cardoso,f
Brian Paul,Lisa Cholodenko,m
Brian Paul,Joan Micklin Silver,m
Jessica Booker,Lisa Cholodenko,f
Jessica Booker,Sarah Polley,f
Deborah Grover,Lisa Cholodenko,f
Deborah Grover,Niki Caro,f
John Gallagher Jr.,Lisa Cholodenko,m
John Gallagher Jr.,Desiree Akhavan,m
John Gallagher Jr.,Martha Coolidge,m
Brady Corbet,Lisa Cholodenko,m
Brady Corbet,Catherine Hardwick,m
James McMenamin,Lisa Cholodenko,m
James McMenamin,Allison Anders,m
James McMenamin,Nicole Holofcener,m
Nada Despotovich,Lisa Cholodenko,f
Nada Despotovich,Susan Seidelman,f
Nada Despotovich,Claudia Weill,f
Patricia Kalember,Lisa Cholodenko,f
Patricia Kalember,Claudia Weill,f
Patricia Kalember,Joan Micklin Silver,f
Victor Garber,Lisa Cholodenko,m
Victor Garber,Patricia Cardoso,m
Victor Garber,Joan Micklin Silver,m
Michael Nouri,Lisa Cholodenko,m
Michael Nouri,Susan Seidelman,m
Michael Nouri,Nicole Holofcener,m
Ashley Aufderheide,Lisa Cholodenko,f
Ashley Aufderheide,Patricia Cardoso,f
Liza Lapira,Lisa Cholodenko,f
Liza Lapira,Martha Coolidge,f
Omar Maskati,Lisa Cholodenko,m
Omar Maskati,Allison Anders,m
Scott Lawrence,Lisa Cholodenko,m
Scott Lawrence,Allison Anders,m
Bridget Everett,Lisa Cholodenko,f
Bridget Everett,Nicole Holofcener,f
Jon Beavers,Lisa Cholodenko,m
Jon Beavers,Desiree Akhavan,m
Julianne Moore,Lisa Cholodenko,f
Julianne Moore,Kimberly Peirce,f
Annette Bening,Lisa Cholodenko,f
Annette Bening,Sally Potter,f
Nino Nava,Lisa Cholodenko,m
Nino Nava,Niki Caro,m
Dennis Howard,Lisa Cholodenko,m
Dennis Howard,Marleen Gorris,m
Catherine McGoohan,Lisa Cholodenko,f
Catherine McGoohan,Nancy Meyers,f
Lauri Johnson,Lisa Cholodenko,f
Lauri Johnson,Marleen Gorris,f
Reef Karim,Lisa Cholodenko,m
Reef Karim,Catherine Hardwick,m
Ariel Felix,Lisa Cholodenko,m
Ariel Felix,Claudia Weill,m
Mía Maestro,Lucrecia Martel,f
Mía Maestro,Allison Anders,f
Carmen Cusack,Marielle Heller,f
Carmen Cusack,Allison Anders,f
Kristen Wiig,Marielle Heller,f
Kristen Wiig,Patty Jenkins,f
Kristen Wiig,Nicole Holofcener,f
Lance Hill,Marielle Heller,m
Lance Hill,Joanna Hogg,m
Mahal Montoya,Marielle Heller,f
Mahal Montoya,Patty Jenkins,f
Vanessa Ross,Marielle Heller,f
Vanessa Ross,Nancy Meyers,f
Katy Tiemann,Marielle Heller,f
Katy Tiemann,Patty Jenkins,f
Ben Falcone,Marielle Heller,m
Ben Falcone,Nicole Holofcener,m
Stephen Spinella,Marielle Heller,m
Stephen Spinella,Martha Coolidge,m
Rosal Colon,Marielle Heller,f
Rosal Colon,Allison Anders,f
Rosal Colon,Nicole Holofcener,f
Marc Evan Jackson,Marielle Heller,m
Marc Evan Jackson,Nicole Holofcener,m
Tina Benko,Marielle Heller,f
Tina Benko,Allison Anders,f
Tina Benko,Kimberly Peirce,f
Joanna Adler,Marielle Heller,f
Joanna Adler,Joan Micklin Silver,f
Michael Cyril Creighton,Marielle Heller,m
Michael Cyril Creighton,Allison Anders,m
Zabryna Guevara,Marielle Heller,f
Zabryna Guevara,Patricia Cardoso,f
Linwood Brown,Marielle Heller,m
Linwood Brown,Tamara Jenkins,m
Michael John Lane,Mélanie Laurent,m
Michael John Lane,Penelope Spheeris,m
Philip Fornah,Mélanie Laurent,m
Philip Fornah,Kimberly Peirce,m
Lili Reinhart,Mélanie Laurent,f
Lili Reinhart,Allison Anders,f
Robert Reed,Mélanie Laurent,m
Robert Reed,Ida Lupino,m
Keisha Castle-Hughes,Niki Caro,f
Keisha Castle-Hughes,Catherine Hardwick,f
Johnny Ortiz,Niki Caro,m
Johnny Ortiz,Kimberly Peirce,m
Valente Rodriguez,Niki Caro,m
Valente Rodriguez,Nancy Meyers,m
Danny Mora,Niki Caro,m
Danny Mora,Desiree Akhavan,m
Martha Higareda,Niki Caro,f
Martha Higareda,Patricia Cardoso,f
Rigo Sanchez,Niki Caro,m
Rigo Sanchez,Desiree Akhavan,m
Chris Ellis,Niki Caro,m
Chris Ellis,Allison Anders,m
Connor Weil,Niki Caro,m
Connor Weil,Patricia Cardoso,m
Mark Falvo,Niki Caro,m
Mark Falvo,Patty Jenkins,m
Emmanuel Howell,Niki Caro,m
Emmanuel Howell,Catherine Hardwick,m
Ian Hughes,Niki Caro,m
Ian Hughes,Patty Jenkins,m
Tzi Ma,Niki Caro,m
Tzi Ma,Catherine Hardwick,m
Tzi Ma,Martha Coolidge,m
Utkarsh Ambudkar,Niki Caro,m
Utkarsh Ambudkar,Susan Seidelman,m
Nicholas Walker,Niki Caro,m
Nicholas Walker,Allison Anders,m
Sissy Spacek,Niki Caro,f
Sissy Spacek,Joan Micklin Silver,f
Linda Emond,Niki Caro,f
Linda Emond,Kimberly Peirce,f
Brad William Henke,Niki Caro,m
Brad William Henke,Allison Anders,m
Brad William Henke,Nicole Holofcener,m
Chris Mulkey,Niki Caro,m
Chris Mulkey,Allison Anders,m
Chris Mulkey,Desiree Akhavan,m
Raye Birk,Niki Caro,m
Raye Birk,Claudia Weill,m
Raye Birk,Martha Coolidge,m
Geraldine James,Niki Caro,f
Geraldine James,Marleen Gorris,f
Dalila Bela,Niki Caro,f
Dalila Bela,Catherine Hardwick,f
Nicky Lawrence,Niki Caro,f
Nicky Lawrence,Patricia Cardoso,f
Johan Heldenbergh,Niki Caro,m
Johan Heldenbergh,Marleen Gorris,m
Efrat Dor,Niki Caro,f
Efrat Dor,Allison Anders,f
Natasa Burger,Niki Caro,f
Natasa Burger,Susanne Bier,f
Kristof Konrad,Niki Caro,m
Kristof Konrad,Patty Jenkins,m
Soledad St. Hilaire,Patricia Cardoso,f
Soledad St. Hilaire,Patty Jenkins,f
Soledad St. Hilaire,Penelope Spheeris,f
Lackey Bevis,Patricia Cardoso,f
Lackey Bevis,Claudia Weill,f
Miguel Sandoval,Patricia Cardoso,m
Miguel Sandoval,Patty Jenkins,m
Cheyenne Haynes,Patricia Cardoso,f
Cheyenne Haynes,Martha Coolidge,f
Jonn Faircrest,Patricia Cardoso,m
Jonn Faircrest,Patty Jenkins,m
Jonn Faircrest,Penelope Spheeris,m
Saundra Santiago,Patricia Cardoso,f
Saundra Santiago,Allison Anders,f
Rose Abdoo,Patricia Cardoso,f
Rose Abdoo,Nicole Holofcener,f
Rob Mayes,Patricia Cardoso,m
Rob Mayes,Nicole Holofcener,m
Laura Linney,Patricia Cardoso,f
Laura Linney,Sally Potter,f
Laura Linney,Tamara Jenkins,f
Christopher Larkin,Patricia Cardoso,m
Christopher Larkin,Martha Coolidge,m
Luke Kirby,Patricia Cardoso,m
Luke Kirby,Sarah Polley,m
Luke Kirby,Allison Anders,m
Jen Richards,Patricia Cardoso,f
Jen Richards,Nicole Holofcener,f
Emily Tosta,Patricia Cardoso,f
Emily Tosta,Allison Anders,f
Melonie Diaz,Patricia Cardoso,f
Melonie Diaz,Catherine Hardwick,f
Alejandra Flores,Patricia Cardoso,f
Alejandra Flores,Nicole Holofcener,f
Casey Deidrick,Patricia Cardoso,m
Casey Deidrick,Catherine Hardwick,m
Keston John,Patricia Cardoso,m
Keston John,Patty Jenkins,m
Derek Webster,Patricia Cardoso,m
Derek Webster,Martha Coolidge,m
Matt Murray,Patricia Cardoso,m
Matt Murray,Catherine Hardwick,m
Aidan Devine,Patricia Cardoso,m
Aidan Devine,Sarah Polley,m
Aidan Devine,Allison Anders,m
Aidan Devine,Catherine Hardwick,m
Maurice Compte,Patricia Cardoso,m
Maurice Compte,Allison Anders,m
Kim Roberts,Patricia Cardoso,f
Kim Roberts,Kimberly Peirce,f
Andrew Church,Patricia Cardoso,m
Andrew Church,Sarah Polley,m
Robert Bailey Jr.,Patricia Cardoso,m
Robert Bailey Jr.,Martha Coolidge,m
Rowena King,Patricia Cardoso,f
Rowena King,Joanna Hogg,f
Laith Nakli,Patricia Cardoso,m
Laith Nakli,Desiree Akhavan,m
John Ellison Conlee,Patricia Cardoso,m
John Ellison Conlee,Desiree Akhavan,m
Gabriella Wilde,Patty Jenkins,f
Gabriella Wilde,Kimberly Peirce,f
Ravi Patel,Patty Jenkins,m
Ravi Patel,Penelope Spheeris,m
Alex Delescu,Patty Jenkins,m
Alex Delescu,Susanne Bier,m
Scott Wilson,Patty Jenkins,m
Scott Wilson,Penelope Spheeris,m
Scott Wilson,Nicole Holofcener,m
Tim Ware,Patty Jenkins,m
Tim Ware,Catherine Hardwick,m
Christian Stokes,Patty Jenkins,m
Christian Stokes,Penelope Spheeris,m
Christian Stokes,Kimberly Peirce,m
Devon Bostick,Patty Jenkins,m
Devon Bostick,Catherine Hardwick,m
Charlie Weirauch,Patty Jenkins,m
Charlie Weirauch,Martha Coolidge,m
Kamal Angelo Bolden,Patty Jenkins,m
Kamal Angelo Bolden,Catherine Hardwick,m
Roxana Brusso,Patty Jenkins,f
Roxana Brusso,Allison Anders,f
Roxana Brusso,Nicole Holofcener,f
Carmen Roman,Patty Jenkins,f
Carmen Roman,Tamara Jenkins,f
Tracey Bonner,Patty Jenkins,f
Tracey Bonner,Catherine Hardwick,f
Philip Harvey,Patty Jenkins,m
Philip Harvey,Sally Potter,m
Robin Harvey,Patty Jenkins,m
Robin Harvey,Sally Potter,m
Kevin Connolly,Patty Jenkins,m
Kevin Connolly,Penelope Spheeris,m
Jerry Ferrara,Patty Jenkins,m
Jerry Ferrara,Nicole Holofcener,m
Debi Mazar,Patty Jenkins,f
Debi Mazar,Susan Seidelman,f
Emmanuelle Chriqui,Patty Jenkins,f
Emmanuelle Chriqui,Allison Anders,f
Scott Caan,Patty Jenkins,m
Scott Caan,Nicole Holofcener,m
Janet Montgomery,Patty Jenkins,f
Janet Montgomery,Catherine Hardwick,f
Samaire Armstrong,Patty Jenkins,f
Samaire Armstrong,Allison Anders,f
Branden Williams,Patty Jenkins,m
Branden Williams,Nicole Holofcener,m
Nora Dunn,Patty Jenkins,f
Nora Dunn,Allison Anders,f
Nora Dunn,Joan Micklin Silver,f
Nora Dunn,Martha Coolidge,f
Nora Dunn,Nancy Meyers,f
Mandy Moore,Patty Jenkins,f
Mandy Moore,Catherine Hardwick,f
David Cross,Patty Jenkins,m
David Cross,Nicole Holofcener,m
Jessica Walter,Patty Jenkins,f
Jessica Walter,Tamara Jenkins,f
Mae Whitman,Patty Jenkins,f
Mae Whitman,Claudia Weill,f
Mae Whitman,Joan Micklin Silver,f
Isla Fisher,Patty Jenkins,f
Isla Fisher,Martha Coolidge,f
Isla Fisher,Nicole Holofcener,f
Jeff Garlin,Patty Jenkins,m
Jeff Garlin,Penelope Spheeris,m
Dermot Mulroney,Patty Jenkins,m
Dermot Mulroney,Nicole Holofcener,m
Patricia Velasquez,Patty Jenkins,f
Patricia Velasquez,Martha Coolidge,f
John Michael Higgins,Patty Jenkins,m
John Michael Higgins,Martha Coolidge,m
Scott Baio,Patty Jenkins,m
Scott Baio,Claudia Weill,m
Al Sapienza,Patty Jenkins,m
Al Sapienza,Kimberly Peirce,m
Samantha Ferris,Patty Jenkins,f
Samantha Ferris,Susan Seidelman,f
Samantha Ferris,Kimberly Peirce,f
Joey Abril,Patty Jenkins,m
Joey Abril,Allison Anders,m
Ava Acres,Patty Jenkins,f
Ava Acres,Penelope Spheeris,f
Ava Acres,Jennifer Lee,f
Josh Holloway,Patty Jenkins,m
Josh Holloway,Penelope Spheeris,m
Jennifer Morrison,Patty Jenkins,f
Jennifer Morrison,Penelope Spheeris,f
Jennifer Morrison,Catherine Hardwick,f
Kathy Najimy,Patty Jenkins,f
Kathy Najimy,Penelope Spheeris,f
Kathy Najimy,Allison Anders,f
Kathy Najimy,Martha Coolidge,f
Romy Rosemont,Patty Jenkins,f
Romy Rosemont,Penelope Spheeris,f
Romy Rosemont,Nicole Holofcener,f
Tony Shalhoub,Patty Jenkins,m
Tony Shalhoub,Penelope Spheeris,m
Bob Newhart,Patty Jenkins,m
Bob Newhart,Penelope Spheeris,m
Alan Ruck,Patty Jenkins,m
Alan Ruck,Penelope Spheeris,m
Alan Ruck,Martha Coolidge,m
Talyan Wright,Patty Jenkins,f
Talyan Wright,Penelope Spheeris,f
Mark Daneri,Patty Jenkins,m
Mark Daneri,Penelope Spheeris,m
Kyle Hacker,Patty Jenkins,m
Kyle Hacker,Penelope Spheeris,m
Harmon Jones,Patty Jenkins,m
Harmon Jones,Penelope Spheeris,m
Emily Skinner,Patty Jenkins,f
Emily Skinner,Penelope Spheeris,f
Casey Simpson,Patty Jenkins,m
Casey Simpson,Penelope Spheeris,m
Kirk Baily,Patty Jenkins,m
Kirk Baily,Penelope Spheeris,m
Kirk Baily,Jennifer Lee,m
Andrea Bendewald,Patty Jenkins,f
Andrea Bendewald,Penelope Spheeris,f
Josh Dallas,Patty Jenkins,m
Josh Dallas,Penelope Spheeris,m
Trever O'Brien,Patty Jenkins,m
Trever O'Brien,Penelope Spheeris,m
Trever O'Brien,Joan Micklin Silver,m
Barry Heins,Patty Jenkins,m
Barry Heins,Penelope Spheeris,m
Patti A. Lewis,Patty Jenkins,f
Patti A. Lewis,Penelope Spheeris,f
Chyna Layne,Patty Jenkins,f
Chyna Layne,Penelope Spheeris,f
Jessalyn Wanlim,Patty Jenkins,f
Jessalyn Wanlim,Penelope Spheeris,f
Sophia Beliaev,Patty Jenkins,f
Sophia Beliaev,Penelope Spheeris,f
Kellie Nash,Patty Jenkins,f
Kellie Nash,Penelope Spheeris,f
Josephine Zeitlin,Patty Jenkins,f
Josephine Zeitlin,Penelope Spheeris,f
Tyler Barnes,Patty Jenkins,m
Tyler Barnes,Penelope Spheeris,m
Jennifer Kaye Evans,Patty Jenkins,f
Jennifer Kaye Evans,Penelope Spheeris,f
Alexa Najera,Patty Jenkins,f
Alexa Najera,Penelope Spheeris,f
Tracey Ann-Marie Nelson,Patty Jenkins,f
Tracey Ann-Marie Nelson,Penelope Spheeris,f
Maureen Pearson,Patty Jenkins,f
Maureen Pearson,Penelope Spheeris,f
Israel Sáez de Miguel,Patty Jenkins,m
Israel Sáez de Miguel,Penelope Spheeris,m
Esther Scott,Penelope Spheeris,f
Esther Scott,Martha Coolidge,f
Ernie Lively,Penelope Spheeris,m
Ernie Lively,Claudia Weill,m
Thom Gossom Jr.,Penelope Spheeris,m
Thom Gossom Jr.,Catherine Hardwick,m
Paul McMichael,Penelope Spheeris,m
Paul McMichael,Susanne Bier,m
Billy Morrissette,Penelope Spheeris,m
Billy Morrissette,Claudia Weill,m
Todd Field,Penelope Spheeris,m
Todd Field,Claudia Weill,m
Todd Field,Nicole Holofcener,m
Amy Benedict,Penelope Spheeris,f
Amy Benedict,Claudia Weill,f
Maggie Wheeler,Penelope Spheeris,f
Maggie Wheeler,Nancy Meyers,f
Charles Noland,Penelope Spheeris,m
Charles Noland,Nicole Holofcener,m
M.C. Gainey,Penelope Spheeris,m
M.C. Gainey,Allison Anders,m
M.C. Gainey,Nicole Holofcener,m
Philip Tan,Penelope Spheeris,m
Philip Tan,Allison Anders,m
Lewis Dauber,Penelope Spheeris,m
Lewis Dauber,Nancy Meyers,m
Gene Simmons,Penelope Spheeris,m
Gene Simmons,Martha Coolidge,m
Jeff Young,Penelope Spheeris,m
Jeff Young,Martha Coolidge,m
Mary LaRoche,Penelope Spheeris,f
Mary LaRoche,Ida Lupino,f
David White,Penelope Spheeris,m
David White,Ida Lupino,m
Jack Black,Penelope Spheeris,m
Jack Black,Nancy Meyers,m
Kyle Gass,Penelope Spheeris,m
Kyle Gass,Susan Seidelman,m
Joyce Guy,Penelope Spheeris,f
Joyce Guy,Nicole Holofcener,f
Harrison Young,Penelope Spheeris,m
Harrison Young,Claudia Weill,m
Lea Thompson,Penelope Spheeris,f
Lea Thompson,Claudia Weill,f
Dabney Coleman,Penelope Spheeris,m
Dabney Coleman,Ida Lupino,m
Lyman Ward,Penelope Spheeris,m
Lyman Ward,Claudia Weill,m
Michael Cassidy,Penelope Spheeris,m
Michael Cassidy,Martha Coolidge,m
Buddy Ebsen,Penelope Spheeris,m
Buddy Ebsen,Martha Coolidge,m
Zsa Zsa Gabor,Penelope Spheeris,f
Zsa Zsa Gabor,Ida Lupino,f
Leslie Cook,Penelope Spheeris,f
Leslie Cook,Martha Coolidge,f
Beverly Polcyn,Penelope Spheeris,f
Beverly Polcyn,Martha Coolidge,f
Mary Kircher,Penelope Spheeris,f
Mary Kircher,Martha Coolidge,f
Melissa S. Markess,Penelope Spheeris,f
Melissa S. Markess,Martha Coolidge,f
Johnny Meyer,Penelope Spheeris,m
Johnny Meyer,Allison Anders,m
Johnny Meyer,Martha Coolidge,m
Ronny Cox,Penelope Spheeris,m
Ronny Cox,Martha Coolidge,m
Carrie Fisher,Penelope Spheeris,f
Carrie Fisher,Joan Micklin Silver,f
Alice Spivak,Penelope Spheeris,f
Alice Spivak,Nicole Holofcener,f
Tom Arnold,Penelope Spheeris,m
Tom Arnold,Nicole Holofcener,m
Arielle Kebbel,Penelope Spheeris,f
Arielle Kebbel,Nicole Holofcener,f
Lisa Wilhoit,Penelope Spheeris,f
Lisa Wilhoit,Claudia Weill,f
