actor,director,gender
Lothaire Bluteau,Agnieszka Holland,m
Lothaire Bluteau,Mary Harron,m
Lothaire Bluteau,Sally Potter,m
Boguslawa Schubert,Agnieszka Holland,f
Boguslawa Schubert,Marleen Gorris,f
Maria Seweryn,Agnieszka Holland,f
Maria Seweryn,Marleen Gorris,f
Mary-Colin Chisholm,Agnieszka Holland,f
Mary-Colin Chisholm,Joan Micklin Silver,f
Mark Day,Agnieszka Holland,m
Mark Day,Kathryn Bigelow,m
Jeremy Akerman,Agnieszka Holland,m
Jeremy Akerman,Mira Nair,m
Jeremy Akerman,Kathryn Bigelow,m
Jeremy Akerman,Joan Micklin Silver,m
Lech Mackiewicz,Agnieszka Holland,m
Lech Mackiewicz,Martha Coolidge,m
Lech Dyblik,Agnieszka Holland,m
Lech Dyblik,Marleen Gorris,m
Piotr Rekawik,Agnieszka Holland,m
Piotr Rekawik,Marleen Gorris,m
Jim Swansburg,Agnieszka Holland,m
Jim Swansburg,Joan Micklin Silver,m
Trina Corkum,Agnieszka Holland,f
Trina Corkum,Joan Micklin Silver,f
Stan Carew,Agnieszka Holland,m
Stan Carew,Joan Micklin Silver,m
Pierre Arditi,Agnieszka Holland,m
Pierre Arditi,Lina Wertmüller,m
Jean-Claude Dauphin,Agnieszka Holland,m
Jean-Claude Dauphin,Claire Denis,m
Jean-Claude Dauphin,Chantal Akerman,m
Laurent Arnal,Agnieszka Holland,m
Laurent Arnal,Claire Denis,m
Miguel Ferrer,Agnieszka Holland,m
Miguel Ferrer,Donna Deitch,m
Dan Hedaya,Agnieszka Holland,m
Dan Hedaya,Amy Heckerling,m
Dan Hedaya,Donna Deitch,m
Peter Berg,Agnieszka Holland,m
Peter Berg,Claudia Weill,m
Grace Zabriskie,Agnieszka Holland,f
Grace Zabriskie,Mary Harron,f
Grace Zabriskie,Donna Deitch,f
Grace Zabriskie,Penelope Spheeris,f
Grace Zabriskie,Joan Micklin Silver,f
Peter Gallagher,Agnieszka Holland,m
Peter Gallagher,Donna Deitch,m
Peter Gallagher,Nicole Holofcener,m
Barbara Howard,Agnieszka Holland,f
Barbara Howard,Donna Deitch,f
Johanna Went,Agnieszka Holland,f
Johanna Went,Amy Heckerling,f
Laura Dern,Agnieszka Holland,f
Laura Dern,Barbara Kopple,f
Laura Dern,Greta Gerwig,f
Laura Dern,Kelly Reichardt,f
Laura Dern,Catherine Hardwick,f
Laura Dern,Martha Coolidge,f
Laura Dern,Nicole Holofcener,f
Bruno Kirby,Agnieszka Holland,m
Bruno Kirby,Joan Micklin Silver,m
Joe Mantegna,Agnieszka Holland,m
Joe Mantegna,Penelope Spheeris,m
Gary Oldman,Agnieszka Holland,m
Gary Oldman,Catherine Hardwick,m
Dana Delany,Agnieszka Holland,f
Dana Delany,Mary Harron,f
Dana Delany,Kathryn Bigelow,f
Dana Delany,Martha Coolidge,f
Brendan Fraser,Agnieszka Holland,m
Brendan Fraser,Allison Anders,m
Danny Glover,Agnieszka Holland,m
Danny Glover,Julie Dash,m
Danny Glover,Gina Prince-Bythewood,m
Jennifer Grey,Agnieszka Holland,f
Jennifer Grey,Amy Heckerling,f
Christopher Lloyd,Agnieszka Holland,m
Christopher Lloyd,Martha Coolidge,m
Bill Pullman,Agnieszka Holland,m
Bill Pullman,Penny Marshall,m
Bill Pullman,Martha Coolidge,m
Marg Helgenberger,Agnieszka Holland,f
Marg Helgenberger,Cheryl Dunye,f
Marg Helgenberger,Patricia Cardoso,f
Marg Helgenberger,Claudia Weill,f
Benicio Del Toro,Agnieszka Holland,m
Benicio Del Toro,Sofia Coppola,m
Benicio Del Toro,Susan Seidelman,m
Benicio Del Toro,Susanne Bier,m
Marcia Gay Harden,Agnieszka Holland,f
Marcia Gay Harden,Susan Seidelman,f
Marcia Gay Harden,Allison Anders,f
Lucinda Jenney,Agnieszka Holland,f
Lucinda Jenney,Donna Deitch,f
Lucinda Jenney,Allison Anders,f
Lucinda Jenney,Martha Coolidge,f
Kelly Lynch,Agnieszka Holland,f
Kelly Lynch,Mary Harron,f
Kelly Lynch,Karyn Kusama,f
Kelly Lynch,Lisa Cholodenko,f
Kelly Lynch,Allison Anders,f
Kelly Lynch,Kimberly Peirce,f
Kelly Lynch,Marleen Gorris,f
William Petersen,Agnieszka Holland,m
William Petersen,Kimberly Peirce,m
Bruce Ramsay,Agnieszka Holland,m
Bruce Ramsay,Donna Deitch,m
Laura San Giacomo,Agnieszka Holland,f
Laura San Giacomo,Barbara Kopple,f
Eric Stoltz,Agnieszka Holland,m
Eric Stoltz,Amy Heckerling,m
Eric Stoltz,Donna Deitch,m
Eric Stoltz,Gillian Armstrong,m
Eric Stoltz,Allison Anders,m
Eric Stoltz,Claudia Weill,m
Eric Stoltz,Martha Coolidge,m
Jon Polito,Agnieszka Holland,m
Jon Polito,Barbara Kopple,m
Jon Polito,Kathryn Bigelow,m
Jon Polito,Lisa Cholodenko,m
Jon Polito,Susan Seidelman,m
Vinessa Shaw,Agnieszka Holland,f
Vinessa Shaw,Kathryn Bigelow,f
Adam Baldwin,Agnieszka Holland,m
Adam Baldwin,Donna Deitch,m
Peter Coyote,Agnieszka Holland,m
Peter Coyote,Debra Granik,m
Heather Graham,Agnieszka Holland,f
Heather Graham,Gillian Armstrong,f
Heather Graham,Martha Coolidge,f
Richard Portnow,Agnieszka Holland,m
Richard Portnow,Donna Deitch,m
Richard Portnow,Susan Seidelman,m
Robin Bartlett,Agnieszka Holland,f
Robin Bartlett,Donna Deitch,f
Patrick Breen,Agnieszka Holland,m
Patrick Breen,Lisa Cholodenko,m
Patrick Breen,Martha Coolidge,m
Paul Guilfoyle,Agnieszka Holland,m
Paul Guilfoyle,Chantal Akerman,m
Vondie Curtis-Hall,Agnieszka Holland,m
Vondie Curtis-Hall,Mary Harron,m
Vondie Curtis-Hall,Donna Deitch,m
Vondie Curtis-Hall,Kasi Lemmons,m
Vondie Curtis-Hall,Claudia Weill,m
J.E. Freeman,Agnieszka Holland,m
J.E. Freeman,Marleen Gorris,m
Benno Fürmann,Agnieszka Holland,m
Benno Fürmann,Lana Wachowski,m
Benno Fürmann,Lilly Wachowski,m
Giovanni Ribisi,Agnieszka Holland,m
Giovanni Ribisi,Sofia Coppola,m
Giovanni Ribisi,Ava DuVernay,m
Lee Tergesen,Agnieszka Holland,m
Lee Tergesen,Mary Harron,m
Lee Tergesen,Barbara Kopple,m
Lee Tergesen,Kathryn Bigelow,m
Lee Tergesen,Donna Deitch,m
Lee Tergesen,Lisa Cholodenko,m
Lee Tergesen,Patty Jenkins,m
Lee Tergesen,Penelope Spheeris,m
Elias Koteas,Agnieszka Holland,m
Elias Koteas,Amy Heckerling,m
Elias Koteas,Patty Jenkins,m
Amy Madigan,Agnieszka Holland,f
Amy Madigan,Susan Seidelman,f
Eric Bogosian,Agnieszka Holland,m
Eric Bogosian,Karyn Kusama,m
Eric Bogosian,Claudia Weill,m
Eric Bogosian,Martha Coolidge,m
Richard Pilcher,Agnieszka Holland,m
Richard Pilcher,Barbara Kopple,m
Richard Pilcher,Kathryn Bigelow,m
Richard Pilcher,Lisa Cholodenko,m
Francesco Scorsone,Agnieszka Holland,m
Francesco Scorsone,Penny Marshall,m
Rick Kain,Agnieszka Holland,m
Rick Kain,Patty Jenkins,m
David Parker,Agnieszka Holland,m
David Parker,Donna Deitch,m
Jennifer Jason Leigh,Agnieszka Holland,f
Jennifer Jason Leigh,Amy Heckerling,f
Jennifer Jason Leigh,Jane Campion,f
Jennifer Jason Leigh,Martha Coolidge,f
Judith Ivey,Agnieszka Holland,f
Judith Ivey,Martha Coolidge,f
Robert Stanton,Agnieszka Holland,m
Robert Stanton,Penny Marshall,m
Betsy Brantley,Agnieszka Holland,f
Betsy Brantley,Donna Deitch,f
Peter Maloney,Agnieszka Holland,m
Peter Maloney,Susan Seidelman,m
Mike Campbell,Agnieszka Holland,m
Mike Campbell,Gillian Armstrong,m
Katie Whicker,Agnieszka Holland,f
Katie Whicker,Catherine Hardwick,f
Ewa Blaszczyk,Agnieszka Holland,f
Ewa Blaszczyk,Martha Coolidge,f
Miroslaw Zbrojewicz,Agnieszka Holland,m
Miroslaw Zbrojewicz,Martha Coolidge,m
Clive Russell,Agnieszka Holland,m
Clive Russell,Gillian Armstrong,m
Maura Tierney,Agnieszka Holland,f
Maura Tierney,Dee Rees,f
Maura Tierney,Donna Deitch,f
Maura Tierney,Allison Anders,f
Julia Goldani Telles,Agnieszka Holland,f
Julia Goldani Telles,Allison Anders,f
Jadon Sand,Agnieszka Holland,m
Jadon Sand,Allison Anders,m
Jadon Sand,Jennifer Lee,m
Joshua Jackson,Agnieszka Holland,m
Joshua Jackson,Ava DuVernay,m
Joshua Jackson,Allison Anders,m
Ruth Wilson,Agnieszka Holland,f
Ruth Wilson,Allison Anders,f
Jake Siciliano,Agnieszka Holland,m
Jake Siciliano,Allison Anders,m
Catalina Sandino Moreno,Agnieszka Holland,f
Catalina Sandino Moreno,Gurinder Chadha,f
Catalina Sandino Moreno,Allison Anders,f
Omar Metwally,Agnieszka Holland,m
Omar Metwally,Lisa Cholodenko,m
Omar Metwally,Allison Anders,m
Leya Catlett,Agnieszka Holland,f
Leya Catlett,Allison Anders,f
Kathleen Chalfant,Agnieszka Holland,f
Kathleen Chalfant,Allison Anders,f
Kathleen Chalfant,Barbara Hammer,f
Abigail Dylan Harrison,Agnieszka Holland,f
Abigail Dylan Harrison,Allison Anders,f
Josh Stamberg,Agnieszka Holland,m
Josh Stamberg,Allison Anders,m
Josh Stamberg,Martha Coolidge,m
Victor Williams,Agnieszka Holland,m
Victor Williams,Penny Marshall,m
Victor Williams,Allison Anders,m
Victor Williams,Nicole Holofcener,m
Colin Donnell,Agnieszka Holland,m
Colin Donnell,Allison Anders,m
Darren Goldstein,Agnieszka Holland,m
Darren Goldstein,Kathryn Bigelow,m
Darren Goldstein,Allison Anders,m
Kaija Matiss,Agnieszka Holland,f
Kaija Matiss,Allison Anders,f
Sanaa Lathan,Agnieszka Holland,f
Sanaa Lathan,Gina Prince-Bythewood,f
Sanaa Lathan,Kasi Lemmons,f
Sanaa Lathan,Allison Anders,f
Mare Winningham,Agnieszka Holland,f
Mare Winningham,Karyn Kusama,f
Mare Winningham,Allison Anders,f
Michael Godere,Agnieszka Holland,m
Michael Godere,Allison Anders,m
Danny Fischer,Agnieszka Holland,m
Danny Fischer,Allison Anders,m
