actor,film,gender
Joshua Brady,Halt and Catch Fire (2014-2017),m
Joshua Brady,Halt and Catch Fire (2015-2016),m
Melanie J. Newby,Halt and Catch Fire (2014-2017),f
Melanie J. Newby,Halt and Catch Fire (2015-2016),f
Jona Xiao,Halt and Catch Fire (2014-2017),f
Jona Xiao,Halt and Catch Fire (2015-2016),f
David Wilson Barnes,Halt and Catch Fire (2014-2017),m
David Wilson Barnes,Hell on Wheels,m
David Wilson Barnes,Halt and Catch Fire (2015-2016),m
Paul Calderon,Girlfight,m
Paul Calderon,Four Rooms,m
Tammy Blanchard,The Invitation,f
Tammy Blanchard,A Beautiful Day in the Neighborhood,f
Lindsay Burdge,The Invitation,f
Lindsay Burdge,XX,f
Lindsay Burdge,Sorry for Your Loss,f
Natalie Brown,XX,f
Natalie Brown,The Crooked E: The Unshredded Truth About Enron,f
Ron Lea,XX,m
Ron Lea,Giving Up the Ghost,m
Melanie Lynskey,XX,f
Melanie Lynskey,Togetherness,f
Sanai Victoria,XX,f
Sanai Victoria,Beaches,f
Angela Trimbur,XX,f
Angela Trimbur,One Mississippi (2015-2016),f
Morgan Krantz,XX,m
Morgan Krantz,In the Dark,m
Christina Kirk,XX,f
Christina Kirk,Manhattan,f
Julie Berman,Casual,f
Julie Berman,Once and Again (1999-2001),f
Katie Aselton,Casual,f
Katie Aselton,Togetherness,f
Judy Greer,Casual,f
Judy Greer,Arrested Development,f
Judy Greer,Kidding,f
Judy Greer,Carrie,f
Judy Greer,What Women Want,f
Dylan Gelula,Casual,f
Dylan Gelula,Unbreakable Kimmy Schmidt,f
Timm Sharp,Casual,m
Timm Sharp,Briarpatch,m
Timm Sharp,Enlightened (2011-2013),m
Timm Sharp,Friends with Money,m
Timm Sharp,One Mississippi (2015-2016),m
Kerri Kenney,Casual,f
Kerri Kenney,Angie Tribeca,f
Brianne Davis,Casual,f
Brianne Davis,The Kid & I,f
Brianne Davis,Six (2017-2018),f
Lizzy Caplan,Masters of Sex,f
Lizzy Caplan,Angie Tribeca,f
Lizzy Caplan,Related,f
Caitlin FitzGerald,Masters of Sex,f
Caitlin FitzGerald,It's Complicated,f
Annaleigh Ashford,Masters of Sex,f
Annaleigh Ashford,Unbelievable,f
Annaleigh Ashford,Frozen,f
Heléne Yorke,Masters of Sex,f
Heléne Yorke,Graves,f
Allison Janney,Masters of Sex,f
Allison Janney,Walking and Talking,f
David Walton,Masters of Sex,m
David Walton,Cracking Up,m
David Walton,Angie Tribeca,m
Michael O'Keefe,Masters of Sex,m
Michael O'Keefe,Three Wishes,m
Garrett M. Brown,Masters of Sex,m
Garrett M. Brown,Sisters,m
Emily Kinney,Masters of Sex,f
Emily Kinney,It's Complicated,f
Adam Arkin,Masters of Sex,m
Adam Arkin,Chicago Hope,m
Barry Watson,Masters of Sex,m
Barry Watson,What About Brian,m
Brian Howe,Masters of Sex,m
Brian Howe,Betrayal,m
David Eigenberg,Chicago Fire,m
David Eigenberg,Five,m
David Eigenberg,Sex and the City,m
David Eigenberg,Sex and the City (1999-2000),m
David Eigenberg,Sex and the City (1998-2000),m
Charlie Barnett,Chicago Fire,m
Charlie Barnett,Tales of the City,m
Jason Beghe,Chicago Fire,m
Jason Beghe,Huff,m
Edwin Hodge,Chicago Fire,m
Edwin Hodge,Mayans M.C.,m
Edwin Hodge,Six (2017-2018),m
Yaya DaCosta,Chicago Fire,f
Yaya DaCosta,The Kids Are All Right,f
Adam Brody,Jennifer's Body,m
Adam Brody,Once and Again (1999-2001),m
Adam Brody,Gilmore Girls,m
Megan Charpentier,Jennifer's Body,f
Megan Charpentier,Red Riding Hood,f
Adrian Hough,Jennifer's Body,m
Adrian Hough,Things We Lost in the Fire,m
Gabrielle Rose,Jennifer's Body,f
Gabrielle Rose,Proof,f
Bill Fagerbakke,Jennifer's Body,m
Bill Fagerbakke,Unbelievable,m
Andrea Baker,Jennifer's Body,f
Andrea Baker,What Women Want,f
Joel Swetow,Jennifer's Body,m
Joel Swetow,Kidding,m
Megan Danso,Jennifer's Body,f
Megan Danso,Siren,f
James Jordan,Destroyer,m
James Jordan,Certain Women,m
Natalia Cordova-Buckley,Destroyer,f
Natalia Cordova-Buckley,"McFarland, USA",f
Cuete Yeska,Destroyer,m
Cuete Yeska,Exposed,m
Mickey O'Hagan,Destroyer,f
Mickey O'Hagan,I Am the Night,f
McCabe Slye,Destroyer,m
McCabe Slye,The Miseducation of Cameron Post,m
Jeffrey Grover,Speechless,m
Jeffrey Grover,Galveston,m
Sydney Morton,Self Made: Inspired by the Life of Madam C.J. Walker,f
Sydney Morton,The Intern,f
Mouna Traoré,Self Made: Inspired by the Life of Madam C.J. Walker,f
Mouna Traoré,Carrie,f
Joel Rinzler,Self Made: Inspired by the Life of Madam C.J. Walker,m
Joel Rinzler,Cavedweller,m
Stuart Hughes,Self Made: Inspired by the Life of Madam C.J. Walker,m
Stuart Hughes,In the Dark,m
Sean Ringgold,Luke Cage,m
Sean Ringgold,Emergence,m
Ron Cephas Jones,Luke Cage,m
Ron Cephas Jones,Low Winter Sun,m
Ron Cephas Jones,This Is Us (2018-2020),m
Erik LaRay Harvey,Luke Cage,m
Erik LaRay Harvey,The Caveman's Valentine,m
Erik LaRay Harvey,Can You Ever Forgive Me?,m
Erik LaRay Harvey,Now and Again,m
Jamar Greene,Luke Cage,m
Jamar Greene,The Undoing,m
Sônia Braga,Luke Cage,f
Sônia Braga,Meddling Mom,f
Sônia Braga,Sex and the City,f
Sônia Braga,Sex and the City (1999-2000),f
Sônia Braga,Sex and the City (1998-2000),f
Lee R. Sellars,Luke Cage,m
Lee R. Sellars,The Savages,m
Samuel L. Jackson,The Caveman's Valentine,m
Samuel L. Jackson,Eve's Bayou,m
Anthony Michael Hall,The Caveman's Valentine,m
Anthony Michael Hall,Murder in the First (2014-2016),m
Anthony Michael Hall,Psych,m
Leonard L. Thomas,The Caveman's Valentine,m
Leonard L. Thomas,Eve's Bayou,m
Alex Karzis,The Caveman's Valentine,m
Alex Karzis,Eyewitness,m
Rotimi,Black Nativity,m
Rotimi,Betrayal,m
Henry Hunter Hall,Black Nativity,m
Henry Hunter Hall,Harriet,m
Antoine Drye,Black Nativity,m
Antoine Drye,Can You Ever Forgive Me?,m
Tommy Bayiokos,Black Nativity,m
Tommy Bayiokos,Musical Chairs,m
Dennis Lauricella,Black Nativity,m
Dennis Lauricella,Private Life,m
Victoria Rowell,Eve's Bayou,f
Victoria Rowell,Dr. Hugo,f
Joe Alwyn,Harriet,m
Joe Alwyn,The Souvenir: Part II,m
Nick Basta,Harriet,m
Nick Basta,TURN: Washington's Spies,m
Daphne Reid,Harriet,f
Daphne Reid,CBS Summer Playhouse,f
Thomas Keegan,Harriet,m
Thomas Keegan,TURN: Washington's Spies,m
Aaron Angus,Harriet,m
Aaron Angus,TURN: Washington's Spies,m
Victor Ellis,Harriet,m
Victor Ellis,Wonder Woman 1984,m
Chuck Taber,Harriet,m
Chuck Taber,Wonder Woman 1984,m
William G. Tomek,Harriet,m
William G. Tomek,Wonder Woman 1984,m
Gary Bolling,Losing Ground,m
Gary Bolling,The Cool World,m
Heather Gottlieb,Ode,f
Heather Gottlieb,Walking and Talking,f
Michelle Williams,Meek's Cutoff,f
Michelle Williams,Wendy and Lucy,f
Michelle Williams,Certain Women,f
Michelle Williams,Take This Waltz,f
Michelle Williams,If These Walls Could Talk 2,f
Zoe Kazan,Meek's Cutoff,f
Zoe Kazan,Olive Kitteridge,f
Zoe Kazan,The Savages,f
Zoe Kazan,It's Complicated,f
Zoe Kazan,Bored to Death,f
Kai Lennox,Night Moves,m
Kai Lennox,Unbelievable,m
Kai Lennox,Things Behind the Sun,m
Kai Lennox,Sugar Town,m
Dann Fink,Night Moves,m
Dann Fink,Can You Ever Forgive Me?,m
Rene Auberjonois,First Cow,m
Rene Auberjonois,Certain Women,m
Ewen Bremner,First Cow,m
Ewen Bremner,Wonder Woman,m
Ewen Bremner,Epilogue: Etta's Mission,m
Lily Gladstone,First Cow,f
Lily Gladstone,Certain Women,f
Dylan Smith,First Cow,m
Dylan Smith,I Am the Night,m
Ted Rooney,First Cow,m
Ted Rooney,Gilmore Girls,m
Lucy,Wendy and Lucy,f
Lucy,Old Joy,f
Will Oldham,Wendy and Lucy,m
Will Oldham,Old Joy,m
Tanya Smith,Wendy and Lucy,f
Tanya Smith,Old Joy,f
John Robinson,Wendy and Lucy,m
John Robinson,Lords of Dogtown,m
John Breen,Wendy and Lucy,m
John Breen,On Dangerous Ground,m
Larry Fessenden,Wendy and Lucy,m
Larry Fessenden,River of Grass,m
Ashlie Atkinson,Certain Women,f
Ashlie Atkinson,Emergence,f
Guy Boyd,Certain Women,m
Guy Boyd,The Savages,m
Guy Boyd,Mi vida loca,m
Guy Boyd,Between the Lines,m
Kirsten Johnson,Dick Johnson Is Dead,f
Kirsten Johnson,Cameraperson,f
Larry Marshall,Deadline,m
Larry Marshall,She-Devil,m
Tim DeKay,Here and Now,m
Tim DeKay,Caroline in the City,m
Tim DeKay,American Crime,m
Madeline Bertani,Here and Now,f
Madeline Bertani,One Mississippi (2015-2016),f
Cynthia Ettinger,Here and Now,f
Cynthia Ettinger,Thirteen,f
Kelly Jenrette,Here and Now,f
Kelly Jenrette,Graves,f
Ally Sheedy,High Art,f
Ally Sheedy,Sugar Town,f
Ally Sheedy,Psych,f
Anthony Ruivivar,High Art,m
Anthony Ruivivar,Southland (2011-2012),m
Rudolf Martin,High Art,m
Rudolf Martin,The Dutch Master,m
Rudolf Martin,Tales of Erotica,m
Lennie James,Hung,m
Lennie James,Low Winter Sun,m
Marylouise Burke,Hung,f
Marylouise Burke,Angie,f
Roxanne Hart,Hung,f
Roxanne Hart,Chicago Hope,f
Lauren Weedman,Hung,f
Lauren Weedman,Arrested Development,f
Lauren Weedman,Graves,f
Lauren Weedman,Briarpatch,f
Gina Hecht,Hung,f
Gina Hecht,What About Brian,f
Ana Ortiz,Hung,f
Ana Ortiz,Carolina,f
Joshua Leonard,Hung,m
Joshua Leonard,Things Behind the Sun,m
Joshua Leonard,Togetherness,m
Kyle Colerider-Krugh,Hung,m
Kyle Colerider-Krugh,Early Edition,m
Merrin Dungey,Hung,f
Merrin Dungey,Betrayal,f
Merrin Dungey,Grosse Pointe,f
Liz Vassey,"Push, Nevada",f
Liz Vassey,Danger Theatre,f
Larry Poindexter,"Push, Nevada",m
Larry Poindexter,Material Girls,m
W. Earl Brown,"Push, Nevada",m
W. Earl Brown,American Crime,m
Monty Bane,"Push, Nevada",m
Monty Bane,Visitors from the Unknown,m
Alexondra Lee,"Push, Nevada",f
Alexondra Lee,What Women Want,f
James Patrick Stuart,"Push, Nevada",m
James Patrick Stuart,It's Complicated,m
Michael Cudlitz,"Push, Nevada",m
Michael Cudlitz,Southland (2011-2012),m
Nan Martin,"Push, Nevada",f
Nan Martin,The Twilight Zone,f
Nan Martin,The Twilight Zone (1985-1987),f
Ivar Brogger,"Push, Nevada",m
Ivar Brogger,Senseless,m
Ivar Brogger,Shark,m
Aidan Quinn,Cavedweller,m
Aidan Quinn,Desperately Seeking Susan,m
Aidan Quinn,Madonna: Into the Groove,m
Aidan Quinn,Madonna: Celebration - The Video Collection,m
Aidan Quinn,A Private Matter,m
Sherilyn Fenn,Cavedweller,f
Sherilyn Fenn,Gilmore Girls,f
Anne Holloway,Cavedweller,f
Anne Holloway,The City Girl,f
Edie Inksetter,Cavedweller,f
Edie Inksetter,In the Dark,f
Brian Paul,Cavedweller,m
Brian Paul,Charms for the Easy Life,m
Jessica Booker,Cavedweller,f
Jessica Booker,Away from Her,f
Deborah Grover,Cavedweller,f
Deborah Grover,Anne with an E,f
John Gallagher Jr.,Olive Kitteridge,m
John Gallagher Jr.,The Miseducation of Cameron Post,m
John Gallagher Jr.,The Flamingo Rising,m
Brady Corbet,Olive Kitteridge,m
Brady Corbet,Thirteen,m
James McMenamin,Olive Kitteridge,m
James McMenamin,Orange Is the New Black,m
Nada Despotovich,Olive Kitteridge,f
Nada Despotovich,Smithereens,f
Nada Despotovich,My So-Called Life,f
Patricia Kalember,Olive Kitteridge,f
Patricia Kalember,Thirtysomething (1987-1989),f
Patricia Kalember,Big Girls Don't Cry... They Get Even,f
Patricia Kalember,Sisters,f
Victor Garber,The Slap,m
Victor Garber,Tales of the City,m
Victor Garber,Invisible Child,m
Michael Nouri,The Slap,m
Michael Nouri,Boynton Beach Club,m
Michael Nouri,Lovely & Amazing,m
Ashley Aufderheide,The Slap,f
Ashley Aufderheide,Emergence,f
Liza Lapira,Unbelievable,f
Liza Lapira,Huff,f
Omar Maskati,Unbelievable,m
Omar Maskati,Time After Time,m
Scott Lawrence,Unbelievable,m
Scott Lawrence,Gang Related,m
Bridget Everett,Unbelievable,f
Bridget Everett,Inside Amy Schumer,f
Jon Beavers,Unbelievable,m
Jon Beavers,Briarpatch,m
Julianne Moore,The Kids Are All Right,f
Julianne Moore,Carrie,f
Annette Bening,The Kids Are All Right,f
Annette Bening,Ginger & Rosa,f
Nino Nava,The Kids Are All Right,m
Nino Nava,"McFarland, USA",m
Dennis Howard,Laurel Canyon,m
Dennis Howard,Carolina,m
Catherine McGoohan,Laurel Canyon,f
Catherine McGoohan,Something's Gotta Give,f
Lauri Johnson,Laurel Canyon,f
Lauri Johnson,Carolina,f
Reef Karim,Laurel Canyon,m
Reef Karim,Lords of Dogtown,m
Ariel Felix,Laurel Canyon,m
Ariel Felix,Chicago Hope,m
Julieta Zylberberg,Magazine for Fai,f
Julieta Zylberberg,The Holy Girl,f
María Alche,Muta,f
María Alche,The Holy Girl,f
Germán de Silva,Zama,m
Germán de Silva,"25 miradas, 200 minutos",m
Willy Lemos,Zama,m
Willy Lemos,"25 miradas, 200 minutos",m
Martín Adjemián,Historias Breves 1,m
Martín Adjemián,La Ciénaga,m
Carlos Aldana,Historias Breves 1,m
Carlos Aldana,Dead King,m
Eduardo Bertoglio,Historias Breves 1,m
Eduardo Bertoglio,"25 miradas, 200 minutos",m
Sandra Ceballos,Historias Breves 1,f
Sandra Ceballos,Dead King,f
Marcelo Machuca,Historias Breves 1,m
Marcelo Machuca,Dead King,m
Roly Serrano,Historias Breves 1,m
Roly Serrano,Dead King,m
Ana Carolina Beltran,New Argirópolis,f
Ana Carolina Beltran,The Holy Girl,f
Gabriela Caballero,New Argirópolis,f
Gabriela Caballero,"25 miradas, 200 minutos",f
Miriam Diaz,New Argirópolis,f
Miriam Diaz,The Holy Girl,f
Guido Nunez,New Argirópolis,m
Guido Nunez,The Holy Girl,m
Mercedes Morán,The Holy Girl,f
Mercedes Morán,La Ciénaga,f
Mía Maestro,The Holy Girl,f
Mía Maestro,Mayans M.C.,f
Maria Micol Ellero,The Holy Girl,f
Maria Micol Ellero,La Ciénaga,f
Sebastián Montagna,The Holy Girl,m
Sebastián Montagna,La Ciénaga,m
Sebastián Montagna,The Headless Woman,m
Mabel Normand,Mabel's Strange Predicament,f
Mabel Normand,Mabel's Bear Escape,f
Mabel Normand,Mabel and Fatty Viewing the World's Fair at San Francisco,f
Mabel Normand,Mabel's Nerve,f
Mabel Normand,Caught in a Cabaret,f
Mabel Normand,Mabel's Stormy Love Affair,f
Mabel Normand,Won in a Closet,f
Mabel Normand,Mabel at the Wheel,f
Mabel Normand,Love and Gasoline,f
Chester Conklin,Mabel's Strange Predicament,m
Chester Conklin,Caught in a Cabaret,m
Chester Conklin,Mabel at the Wheel,m
Alice Davenport,Mabel's Strange Predicament,f
Alice Davenport,Caught in a Cabaret,f
Alice Davenport,Won in a Closet,f
Alice Davenport,Mabel at the Wheel,f
Alice Davenport,Love and Gasoline,f
Harry McCoy,Mabel's Strange Predicament,m
Harry McCoy,Mabel's Nerve,m
Harry McCoy,Caught in a Cabaret,m
Harry McCoy,Mabel's Stormy Love Affair,m
Harry McCoy,Mabel at the Wheel,m
Frank Cooley,Mabel's Strange Predicament,m
Frank Cooley,Won in a Closet,m
Billy Gilbert,Mabel's Strange Predicament,m
Billy Gilbert,Caught in a Cabaret,m
William Hauber,Mabel's Strange Predicament,m
William Hauber,Caught in a Cabaret,m
William Hauber,Won in a Closet,m
William Hauber,Mabel at the Wheel,m
Al St. John,Mabel's Strange Predicament,m
Al St. John,Caught in a Cabaret,m
Al St. John,Won in a Closet,m
Mack Sennett,Mabel's Bear Escape,m
Mack Sennett,Mabel at the Wheel,m
Mack Swain,Mabel's Nerve,m
Mack Swain,Caught in a Cabaret,m
Mack Swain,Mabel at the Wheel,m
Mack Swain,Love and Gasoline,m
Dan Albert,Caught in a Cabaret,m
Dan Albert,Mabel at the Wheel,m
Nick Cogley,Caught in a Cabaret,m
Nick Cogley,Won in a Closet,m
Minta Durfee,Caught in a Cabaret,f
Minta Durfee,Mabel at the Wheel,f
Edgar Kennedy,Caught in a Cabaret,m
Edgar Kennedy,Mabel at the Wheel,m
Grover Ligon,Caught in a Cabaret,m
Grover Ligon,Mabel at the Wheel,m
Hank Mann,Caught in a Cabaret,m
Hank Mann,Won in a Closet,m
Charles Avery,Won in a Closet,m
Charles Avery,Mabel at the Wheel,m
Carmen Cusack,A Beautiful Day in the Neighborhood,f
Carmen Cusack,Sorry for Your Loss,f
Nate Heller,A Beautiful Day in the Neighborhood,m
Nate Heller,The Diary of a Teenage Girl,m
Kristen Wiig,The Diary of a Teenage Girl,f
Kristen Wiig,Wonder Woman 1984,f
Kristen Wiig,Arrested Development,f
Kristen Wiig,Bored to Death,f
Lance Hill,The Diary of a Teenage Girl,m
Lance Hill,Staying Alive,m
Mahal Montoya,The Diary of a Teenage Girl,f
Mahal Montoya,Exposed,f
Vanessa Ross,The Diary of a Teenage Girl,f
Vanessa Ross,The Holiday,f
Katy Tiemann,The Diary of a Teenage Girl,f
Katy Tiemann,Exposed,f
Ben Falcone,Can You Ever Forgive Me?,m
Ben Falcone,Enough Said,m
Stephen Spinella,Can You Ever Forgive Me?,m
Stephen Spinella,Huff,m
Rosal Colon,Can You Ever Forgive Me?,f
Rosal Colon,Orange Is the New Black,f
Marc Evan Jackson,Can You Ever Forgive Me?,m
Marc Evan Jackson,Parks and Recreation (2011-2013),m
Tina Benko,Can You Ever Forgive Me?,f
Tina Benko,TURN: Washington's Spies,f
Joanna Adler,Can You Ever Forgive Me?,f
Joanna Adler,A Fish in the Bathtub,f
Michael Cyril Creighton,Can You Ever Forgive Me?,m
Michael Cyril Creighton,Graves,m
Zabryna Guevara,Can You Ever Forgive Me?,f
Zabryna Guevara,Emergence,f
Linwood Brown,Can You Ever Forgive Me?,m
Linwood Brown,Private Life,m
María Valverde,Galveston,f
María Valverde,Diving,f
Michael John Lane,Galveston,m
Michael John Lane,Balls to the Wall,m
Philip Fornah,Galveston,m
Philip Fornah,Six (2017-2018),m
Lili Reinhart,Galveston,f
Lili Reinhart,Riverdale,f
Mélanie Laurent,Tomorrow,f
Mélanie Laurent,The Adopted,f
Robert Reed,Tomorrow,m
Robert Reed,Dr. Kildare,m
Thomas Solivérès,Breathe,m
Thomas Solivérès,Diving,m
Marie Denarnaud,Breathe,f
Marie Denarnaud,Diving,f
Marie Denarnaud,The Adopted,f
Morgan Perez,Breathe,m
Morgan Perez,Diving,m
Morgan Perez,The Adopted,m
Tiffany Thoyer-Rozat,Breathe,f
Tiffany Thoyer-Rozat,Diving,f
Françoise Vallon,Diving,f
Françoise Vallon,The Adopted,f
Jocelyn Lagarrigue,Diving,m
Jocelyn Lagarrigue,The Adopted,m
Christophe Deslandes,Diving,m
Christophe Deslandes,The Adopted,m
Nicolas Medad,Diving,m
Nicolas Medad,The Adopted,m
Hilary Cleary,Another Country,f
Hilary Cleary,Mercy Peak,f
Julie Collis,Another Country,f
Julie Collis,Mercy Peak,f
John Sumner,Another Country,m
John Sumner,Whale Rider,m
Joel Tobeck,Another Country,m
Joel Tobeck,Memory & Desire,m
Joel Tobeck,Mercy Peak,m
Joy Watson,Another Country,f
Joy Watson,Memory & Desire,f
Keisha Castle-Hughes,Whale Rider,f
Keisha Castle-Hughes,A Heavenly Vintage,f
Keisha Castle-Hughes,The Nativity Story,f
Vicky Haughton,Whale Rider,f
Vicky Haughton,Mercy Peak,f
Johnny Ortiz,"McFarland, USA",m
Johnny Ortiz,American Crime,m
Valente Rodriguez,"McFarland, USA",m
Valente Rodriguez,It's Complicated,m
Danny Mora,"McFarland, USA",m
Danny Mora,Briarpatch,m
Martha Higareda,"McFarland, USA",f
Martha Higareda,Lies in Plain Sight,f
Rigo Sanchez,"McFarland, USA",m
Rigo Sanchez,Briarpatch,m
Chris Ellis,"McFarland, USA",m
Chris Ellis,Murder in the First (2014-2016),m
Connor Weil,"McFarland, USA",m
Connor Weil,Lies in Plain Sight,m
Mark Falvo,"McFarland, USA",m
Mark Falvo,Wonder Woman 1984,m
Emmanuel Howell,"McFarland, USA",m
Emmanuel Howell,Lords of Dogtown,m
Ian Hughes,Memory & Desire,m
Ian Hughes,Wonder Woman,m
Tzi Ma,Mulan,m
Tzi Ma,Hell on Wheels,m
Tzi Ma,Angie Tribeca,m
Utkarsh Ambudkar,Mulan,m
Utkarsh Ambudkar,The Electric Company (2009-2010),m
Nicholas Walker,Mulan,m
Nicholas Walker,Sugar Town,m
Sissy Spacek,North Country,f
Sissy Spacek,A Private Matter,f
Linda Emond,North Country,f
Linda Emond,Stop-Loss,f
Brad William Henke,North Country,m
Brad William Henke,Orange Is the New Black,m
Chris Mulkey,North Country,m
Chris Mulkey,Sugar Town,m
Chris Mulkey,Gas Food Lodging,m
Chris Mulkey,Briarpatch,m
Raye Birk,North Country,m
Raye Birk,The Twilight Zone,m
Raye Birk,The Twilight Zone (1985-1987),m
Geraldine James,Anne with an E,f
Geraldine James,The Luzhin Defence,f
Dalila Bela,Anne with an E,f
Dalila Bela,Red Riding Hood,f
Nicky Lawrence,Anne with an E,f
Nicky Lawrence,In the Dark,f
Johan Heldenbergh,The Zookeeper's Wife,m
Johan Heldenbergh,Antonia's Line,m
Efrat Dor,The Zookeeper's Wife,f
Efrat Dor,Mayans M.C.,f
Natasa Burger,The Zookeeper's Wife,f
Natasa Burger,Serena,f
Kristof Konrad,The Zookeeper's Wife,m
Kristof Konrad,I Am the Night,m
Ingrid Oliu,Real Women Have Curves,f
Ingrid Oliu,Lies in Plain Sight,f
Soledad St. Hilaire,Real Women Have Curves,f
Soledad St. Hilaire,Five,f
Lackey Bevis,Real Women Have Curves,f
Lackey Bevis,My So-Called Life,f
Miguel Sandoval,Deep Blue Breath,m
Miguel Sandoval,Entourage,m
Cheyenne Haynes,Lies in Plain Sight,f
Cheyenne Haynes,Material Girls,f
Jonn Faircrest,Lies in Plain Sight,m
Jonn Faircrest,Five,m
Ana Ayora,Meddling Mom,f
Ana Ayora,In the Dark,f
Saundra Santiago,Meddling Mom,f
Saundra Santiago,Gang Related,f
Rose Abdoo,Meddling Mom,f
Rose Abdoo,Gilmore Girls,f
Rob Mayes,Meddling Mom,m
Rob Mayes,Enough Said,m
Laura Linney,Tales of the City,f
Laura Linney,The Roads Not Taken,f
Laura Linney,The Savages,f
Garcia,Tales of the City,m
Garcia,Party of Five,m
Christopher Larkin,Tales of the City,m
Christopher Larkin,The Flamingo Rising,m
Luke Kirby,Tales of the City,m
Luke Kirby,Take This Waltz,m
Luke Kirby,Sorry for Your Loss,m
Jen Richards,Tales of the City,f
Jen Richards,Mrs. Fletcher,f
Emily Tosta,Party of Five,f
Emily Tosta,Mayans M.C.,f
Natalie Liconti,Party of Five,f
Natalie Liconti,In the Dark,f
Melonie Diaz,Ro,f
Melonie Diaz,Lords of Dogtown,f
Alejandra Flores,La Clave,f
Alejandra Flores,Friends with Money,f
Casey Deidrick,In the Dark,m
Casey Deidrick,Eye Candy,m
Keston John,In the Dark,m
Keston John,I Am the Night,m
Derek Webster,In the Dark,m
Derek Webster,The Night Shift,m
Matt Murray,In the Dark,m
Matt Murray,Eyewitness,m
Aidan Devine,In the Dark,m
Aidan Devine,The Shields Stories,m
Aidan Devine,The Divide,m
Aidan Devine,Eyewitness,m
Maurice Compte,In the Dark,m
Maurice Compte,Mayans M.C.,m
Kim Roberts,In the Dark,f
Kim Roberts,Carrie,f
Andrew Church,In the Dark,m
Andrew Church,Stories We Tell,m
Robert Bailey Jr.,Emergence,m
Robert Bailey Jr.,The Night Shift,m
Rowena King,Emergence,f
Rowena King,Vicious Circle,f
Laith Nakli,Emergence,m
Laith Nakli,Ramy,m
John Ellison Conlee,Emergence,m
John Ellison Conlee,The Miseducation of Cameron Post,m
Gal Gadot,Wonder Woman 1984,f
Gal Gadot,Wonder Woman,f
Gabriella Wilde,Wonder Woman 1984,f
Gabriella Wilde,Carrie,f
Ravi Patel,Wonder Woman 1984,m
Ravi Patel,Five,m
Alex Delescu,Wonder Woman 1984,m
Alex Delescu,The Night Manager,m
Iulia Filipovscaia,Wonder Woman 1984,f
Iulia Filipovscaia,Wonder Woman,f
Nicholas Blatt,Wonder Woman 1984,m
Nicholas Blatt,Wonder Woman,m
Lucy Jenner,Velocity Rules,f
Lucy Jenner,I Am the Night,f
Jimmy Shubert,Velocity Rules,m
Jimmy Shubert,Just Drive,m
Marco St. John,Monster,m
Marco St. John,I Am the Night,m
Scott Wilson,Monster,m
Scott Wilson,Five,m
Scott Wilson,Enlightened (2011-2013),m
Tim Ware,Monster,m
Tim Ware,Reckless,m
Christian Stokes,Monster,m
Christian Stokes,Balls to the Wall,m
Christian Stokes,Stop-Loss,m
Devon Bostick,I Am the Night,m
Devon Bostick,Til It Happens to You,m
Charlie Weirauch,I Am the Night,m
Charlie Weirauch,Girls Club,m
Kamal Angelo Bolden,Betrayal,m
Kamal Angelo Bolden,Low Winter Sun,m
Roxana Brusso,Betrayal,f
Roxana Brusso,Southland (2011-2012),f
Roxana Brusso,L.A. Doctors,f
Carmen Roman,Betrayal,f
Carmen Roman,The Savages,f
Tracey Bonner,Betrayal,f
Tracey Bonner,Low Winter Sun,f
Saïd Taghmaoui,Wonder Woman,m
Saïd Taghmaoui,Epilogue: Etta's Mission,m
Eugene Brave Rock,Wonder Woman,m
Eugene Brave Rock,Epilogue: Etta's Mission,m
Lucy Davis,Wonder Woman,f
Lucy Davis,Epilogue: Etta's Mission,f
Philip Harvey,Wonder Woman,m
Philip Harvey,Ginger & Rosa,m
Robin Harvey,Wonder Woman,m
Robin Harvey,Ginger & Rosa,m
Kevin Connolly,Entourage,m
Kevin Connolly,The Beverly Hillbillies,m
Jerry Ferrara,Entourage,m
Jerry Ferrara,Leap of Faith,m
Debi Mazar,Entourage,f
Debi Mazar,Madonna: Celebration - The Video Collection,f
Emmanuelle Chriqui,Entourage,f
Emmanuelle Chriqui,The Mentalist,f
Emmanuelle Chriqui,Murder in the First (2014-2016),f
Scott Caan,Entourage,m
Scott Caan,Friends with Money,m
Janet Montgomery,Entourage,f
Janet Montgomery,This Is Us (2018-2020),f
Samaire Armstrong,Entourage,f
Samaire Armstrong,The Mentalist,f
Branden Williams,Entourage,m
Branden Williams,Lovely & Amazing,m
Nora Dunn,Entourage,f
Nora Dunn,Graves,f
Nora Dunn,Sisters,f
Nora Dunn,Shark,f
Nora Dunn,It's Complicated,f
Mandy Moore,Entourage,f
Mandy Moore,This Is Us (2018-2020),f
David Cross,Arrested Development,m
David Cross,Unbreakable Kimmy Schmidt,m
Jessica Walter,Arrested Development,f
Jessica Walter,Slums of Beverly Hills,f
Mae Whitman,Arrested Development,f
Mae Whitman,Chicago Hope,f
Mae Whitman,Invisible Child,f
Isla Fisher,Arrested Development,f
Isla Fisher,Angie Tribeca,f
Isla Fisher,Bored to Death,f
Jeff Garlin,Arrested Development,m
Jeff Garlin,Senseless,m
Dermot Mulroney,Arrested Development,m
Dermot Mulroney,Lovely & Amazing,m
Dermot Mulroney,Enlightened (2011-2013),m
Patricia Velasquez,Arrested Development,f
