actor,film,gender
Stanislaw Jaroszynski,Obrazki z zycia,m
Stanislaw Jaroszynski,Evening at Abdon's,m
Juliusz Lubicz-Lisowski,Fever,m
Juliusz Lubicz-Lisowski,Obrazki z zycia,m
Sean Penn,The First,m
Sean Penn,Fast Times at Ridgemont High,m
Sean Penn,The Weight of Water,m
Sean Penn,Persepolis,m
Natascha McElhone,The First,f
Natascha McElhone,Laurel Canyon,f
Natascha McElhone,Mrs Dalloway,f
LisaGay Hamilton,The First,f
LisaGay Hamilton,Sorry for Your Loss,f
Hannah Ware,The First,f
Hannah Ware,Betrayal,f
Keiko Agena,The First,f
Keiko Agena,Here and Now,f
Keiko Agena,Gilmore Girls,f
James Ransone,The First,m
James Ransone,Treme (2010-2013),m
James Ransone,Low Winter Sun,m
T.C. Matherne,The First,m
T.C. Matherne,Cloak & Dagger,m
D.W. Moffett,The First,m
D.W. Moffett,Crossing Jordan (2001-2007),m
D.W. Moffett,Thirteen,m
Toney Chapman Steele,The First,m
Toney Chapman Steele,Claws,m
Annie Parisse,The First,f
Annie Parisse,The Following,f
Tracie Thoms,The First,f
Tracie Thoms,Cold Case (2004-2009),f
Tracie Thoms,I Will Follow,f
Tracie Thoms,Cold Case,f
Fernanda Andrade,The First,f
Fernanda Andrade,Here and Now,f
Jeannie Berlin,The First,f
Jeannie Berlin,The Heartbreak Kid,f
Norbert Leo Butz,The First,m
Norbert Leo Butz,The Miraculous Year,m
Melissa George,The First,f
Melissa George,Two Twisted,f
Melissa George,The Slap,f
Sol Miranda,The First,f
Sol Miranda,Unbreakable Kimmy Schmidt,f
Marcus Lyle Brown,The First,m
Marcus Lyle Brown,Eve's Bayou,m
Marcus Lyle Brown,Six (2017-2018),m
Marcus Lyle Brown,Drop Dead Diva,m
Devyn A. Tyler,The First,f
Devyn A. Tyler,Cloak & Dagger,f
Billy Slaughter,The First,m
Billy Slaughter,Anna Nicole,m
Bill Camp,The First,m
Bill Camp,The Outsider,m
Bill Camp,Manhattan,m
Bill Camp,The Land of Steady Habits,m
Rachel Whitman Groves,The First,f
Rachel Whitman Groves,Claws,f
François Cluzet,"Olivier, Olivier",m
François Cluzet,Chocolat,m
Jean-François Stévenin,"Olivier, Olivier",m
Jean-François Stévenin,Télévision de chambre,m
Jean-François Stévenin,36 fillette,m
Grégoire Colin,"Olivier, Olivier",m
Grégoire Colin,The Intruder,m
Grégoire Colin,Tous les garçons et les filles de leur âge...,m
Grégoire Colin,Nenette and Boni,m
Grégoire Colin,Bastards,m
Grégoire Colin,35 Shots of Rum,m
Grégoire Colin,Friday Night,m
Grégoire Colin,Beau travail,m
Grégoire Colin,Sex Is Comedy,m
Mathias Jung,"Olivier, Olivier",m
Mathias Jung,Total Eclipse,m
Mathias Jung,Charlotte Gray,m
Jerzy Kamas,Obrazki z zycia,m
Jerzy Kamas,Without Secrets,m
Andrzej Seweryn,Obrazki z zycia,m
Andrzej Seweryn,Total Eclipse,m
Andrzej Seweryn,Ekipa,m
Marek Bargielowski,Obrazki z zycia,m
Marek Bargielowski,Evening at Abdon's,m
Bohdan Ejmont,Obrazki z zycia,m
Bohdan Ejmont,Europa Europa,m
Jacek Kleyff,Obrazki z zycia,m
Jacek Kleyff,Screen Tests,m
Miranda Otto,Julie Walking Home,f
Miranda Otto,Rake,f
Miranda Otto,The Last Days of Chez Nous,f
William Fichtner,Julie Walking Home,m
William Fichtner,Strange Days,m
William Fichtner,Entourage,m
Lothaire Bluteau,Julie Walking Home,m
Lothaire Bluteau,I Shot Andy Warhol,m
Lothaire Bluteau,Orlando,m
Boguslawa Schubert,Julie Walking Home,f
Boguslawa Schubert,Europa Europa,f
Boguslawa Schubert,To Kill a Priest,f
Boguslawa Schubert,Ekipa,f
Boguslawa Schubert,Within the Whirlwind,f
Maciej Stuhr,Julie Walking Home,m
Maciej Stuhr,Without Secrets,m
Maria Seweryn,Julie Walking Home,f
Maria Seweryn,Within the Whirlwind,f
Przemyslaw Sadowski,Julie Walking Home,m
Przemyslaw Sadowski,Without Secrets,m
Mary-Colin Chisholm,Julie Walking Home,f
Mary-Colin Chisholm,Hunger Point,f
Mark Day,Julie Walking Home,m
Mark Day,K-19: The Widowmaker,m
Jeremy Akerman,Julie Walking Home,m
Jeremy Akerman,Amelia,m
Jeremy Akerman,K-19: The Widowmaker,m
Jeremy Akerman,Hunger Point,m
Lech Mackiewicz,Julie Walking Home,m
Lech Mackiewicz,I'll Find You,m
Lech Dyblik,Julie Walking Home,m
Lech Dyblik,Within the Whirlwind,m
Piotr Rekawik,Julie Walking Home,m
Piotr Rekawik,Within the Whirlwind,m
Jim Swansburg,Julie Walking Home,m
Jim Swansburg,Hunger Point,m
Trina Corkum,Julie Walking Home,f
Trina Corkum,Hunger Point,f
Stan Carew,Julie Walking Home,m
Stan Carew,Hunger Point,m
Pierre Arditi,Largo desolato,m
Pierre Arditi,L'encyclopédie audio-visuelle,m
Jean-Claude Dauphin,Largo desolato,m
Jean-Claude Dauphin,"Cinéma, de notre temps",m
Dominique Blanc,Largo desolato,f
Dominique Blanc,Total Eclipse,f
Vincent Grass,Largo desolato,m
Vincent Grass,To Kill a Priest,m
Laurent Arnal,Largo desolato,m
Laurent Arnal,Chocolat,m
Miguel Ferrer,Fallen Angels,m
Miguel Ferrer,Crossing Jordan (2001-2007),m
Dan Hedaya,Fallen Angels,m
Dan Hedaya,Clueless,m
Dan Hedaya,Veronica Clare,m
Dan Hedaya,The $treet (2000-2001),m
Peter Berg,Fallen Angels,m
Peter Berg,Chicago Hope,m
Grace Zabriskie,Fallen Angels,f
Grace Zabriskie,Big Love,f
Grace Zabriskie,Prison Stories: Women on the Inside,f
Peter Gallagher,Fallen Angels,m
Peter Gallagher,Law & Order: Special Victims Unit (2002-2011),m
Peter Gallagher,Togetherness,m
Barbara Howard,Fallen Angels,f
Barbara Howard,Veronica Clare,f
Johanna Went,Fallen Angels,f
Johanna Went,Vamps,f
Laura Dern,Fallen Angels,f
Laura Dern,A Century of Women,f
Laura Dern,Little Women,f
Laura Dern,Certain Women,f
Laura Dern,The Black Ghiandola,f
Laura Dern,Rambling Rose,f
Laura Dern,Enlightened (2011-2013),f
Bruno Kirby,Fallen Angels,m
Bruno Kirby,Between the Lines,m
Joe Mantegna,Fallen Angels,m
Joe Mantegna,The Kid & I,m
Gary Oldman,Fallen Angels,m
Gary Oldman,Red Riding Hood,m
Dana Delany,Fallen Angels,f
Dana Delany,Pasadena,f
Dana Delany,Wild Palms,f
Dana Delany,Related,f
Brendan Fraser,Fallen Angels,m
Brendan Fraser,The Affair,m
Danny Glover,Fallen Angels,m
Danny Glover,Travel Notes of a Geechee Girl,m
Danny Glover,Beyond the Lights,m
Jennifer Grey,Fallen Angels,f
Jennifer Grey,Red Oaks (2015-2017),f
Christopher Lloyd,Fallen Angels,m
Christopher Lloyd,Joy of Sex,m
Bill Pullman,Fallen Angels,m
Bill Pullman,A League of Their Own,m
Bill Pullman,Crazy in Love,m
Marg Helgenberger,Fallen Angels,f
Marg Helgenberger,All Rise (2019-2020),f
Marg Helgenberger,All Rise,f
Marg Helgenberger,Giving Up the Ghost,f
Benicio Del Toro,Fallen Angels,m
Benicio Del Toro,Somewhere,m
Benicio Del Toro,Madonna: Celebration - The Video Collection,m
Benicio Del Toro,Things We Lost in the Fire,m
Marcia Gay Harden,Fallen Angels,f
Marcia Gay Harden,Gaudi Afternoon,f
Marcia Gay Harden,In the Echo,f
Lucinda Jenney,Fallen Angels,f
Lucinda Jenney,The Visitor,f
Lucinda Jenney,EZ Streets,f
Lucinda Jenney,Sugar Town,f
Lucinda Jenney,Grace of My Heart,f
Lucinda Jenney,If These Walls Could Talk 2,f
Kelly Lynch,Fallen Angels,f
Kelly Lynch,The L Word,f
William Petersen,Fallen Angels,m
William Petersen,Manhattan,m
Bruce Ramsay,Fallen Angels,m
Bruce Ramsay,C-16: FBI,m
Laura San Giacomo,Fallen Angels,f
Laura San Giacomo,Havoc,f
Eric Stoltz,Fallen Angels,m
Eric Stoltz,Fast Times at Ridgemont High,m
Eric Stoltz,Common Ground,m
Eric Stoltz,Little Women,m
Eric Stoltz,Things Behind the Sun,m
Eric Stoltz,Grace of My Heart,m
Eric Stoltz,Once and Again (1999-2001),m
Eric Stoltz,Chicago Hope,m
Eric Stoltz,Madam Secretary,m
Jon Polito,Fallen Angels,m
Jon Polito,Homicide: Life on the Street (1997-1999),m
Jon Polito,Homicide: Life on the Street (1998-1999),m
Jon Polito,"Push, Nevada",m
Jon Polito,Homicide: Life on the Street,m
Jon Polito,Early Edition,m
Vinessa Shaw,Fallen Angels,f
Vinessa Shaw,The Weight of Water,f
Adam Baldwin,Fallen Angels,m
Adam Baldwin,The Visitor,m
Peter Coyote,Fallen Angels,m
Peter Coyote,Independent Lens,m
Heather Graham,Fallen Angels,f
Heather Graham,Mrs. Soffel,f
Heather Graham,Angie Tribeca,f
Richard Portnow,Fallen Angels,m
Richard Portnow,EZ Streets,m
Richard Portnow,Desperately Seeking Susan,m
Robin Bartlett,Fallen Angels,f
Robin Bartlett,Dragnet,f
Patrick Breen,Fallen Angels,m
Patrick Breen,The Slap,m
Patrick Breen,Madam Secretary,m
Paul Guilfoyle,Fallen Angels,m
Paul Guilfoyle,A Couch in New York,m
Vondie Curtis-Hall,Fallen Angels,m
Vondie Curtis-Hall,Fear Itself,m
Vondie Curtis-Hall,A Gifted Man,m
Vondie Curtis-Hall,Black Nativity,m
Vondie Curtis-Hall,Eve's Bayou,m
